,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,0,5643 N Kedvale Ave,1805.0,2.0,3.0,"Chicago, IL 60646","['09/08/2018', '09/21/1994']",7.0,"['Listed for sale', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,805 Square Feet', 'Lot Size: 4125 sqft']",09/19/2018,4125.0,sqft,&lpar;Brynford Park&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1920', '27 days on Trulia', '4125 sqft lot size', '1,805 sqft', '$194/sqft', '165 views']",349900.0,"[['1994-09-21 00:00:00', 155000, 'Sold'], ['2018-09-08 00:00:00', 349900, 'Listed for sale']]",194.0,"['$349,900', '$155,000']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,805 Square Feet', 'Lot Size: 4,125 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5643-n-kedvale-ave-chicago-il-60646--2104532607,165.0,1920.0,60646.0,78555,98143.0,27177,0,"['0.5 km', '3.3 km', '0.2 km', '12.0 km', '0.1 km']",['15.9 km'],"['6 mins', '12 mins', '2 mins', '23 mins', '1 min']",['47 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Pulaski', 'Blue Line']",[41.9840202],[-87.7320695]
1,1,6148 N Lenox Ave,1908.0,4.0,4.0,"Chicago, IL 60646","['09/20/2018', '06/23/2006']",5.0,"['Listed for sale', 'Sold']","['4 Bedrooms', '4 Bathrooms', 'Single-Family Home', '1,908 Square Feet', 'Lot Size: 4373 sqft']",09/22/2018,4373.0,sqft,&lpar;Edgebrook&rpar;,"['Single-Family Home', '4 Beds', '4 Baths', 'Built in 1948', '15 days on Trulia', '4373 sqft lot size', '1,908 sqft', '$275/sqft', '24 views']",525000.0,"[['2006-06-23 00:00:00', 530000, 'Sold'], ['2018-09-20 00:00:00', 525000, 'Listed for sale']]",275.0,"['$525,000', '$530,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,579 Square Feet', 'Lot Size: 4,375 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6148-n-lenox-ave-chicago-il-60646--2104536836,24.0,1948.0,60646.0,78555,98143.0,27177,1,"['1.1 km', '4.6 km', '0.3 km', '13.5 km', '0.1 km']",['19.6 km'],"['14 mins', '7 mins', '4 mins', '26 mins', '1 min']",['57 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Milwaukee North', 'Blue Line']",[41.9937038],[-87.7552238]
2,2,6448 N Algonquin Ave,1628.0,2.0,3.0,"Chicago, IL 60646",['08/31/2005'],6.0,['Sold'],"['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,628 Square Feet', 'Lot Size: 5000 sqft']",10/03/2018,5000.0,sqft,&lpar;Wildwood&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1940', '186 days on Trulia', '5000 sqft lot size', '1,628 sqft', '$296/sqft', '68 views']",481189.0,"[['2005-08-31 00:00:00', 492000, 'Sold']]",296.0,"['$492,000']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,628 Square Feet', 'Lot Size: 5,000 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6448-n-algonquin-ave-chicago-il-60646--2104539313,68.0,1940.0,60646.0,78555,98143.0,27177,2,"['0.2 km', '4.6 km', '0.3 km', '13.5 km', '0.1 km']",['18.7 km'],"['3 mins', '7 mins', '4 mins', '26 mins', '1 min']",['45 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Milwaukee North', 'Blue Line']",[41.9985402],[-87.76696199999999]
3,3,5863 N Kingsdale Ave,2430.0,4.0,5.0,"Chicago, IL 60646","['09/17/2018', '09/07/2018', '08/17/2018', '10/05/2017', '03/28/2017', '03/27/2017', '03/23/2017', '01/21/2017', '01/09/2017', '01/08/2017', '01/06/2017', '01/04/2017', '12/12/2016', '09/26/2016', '08/30/2016', '08/17/2016', '06/12/2016', '02/22/2016', '01/14/2016', '09/19/2014', '06/26/2014']",9.0,"['Price change', 'Posting removed', 'Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Listed for sale']","['5 Bedrooms', '4 Bathrooms', 'Single-Family Home', '2,430 Square Feet', 'Lot Size: 3746 sqft']",09/17/2018,3746.0,sqft,&lpar;Sauganash&rpar;,"['Single-Family Home', '5 Beds', '4 Baths', 'Built in 1953', '49 days on Trulia', '3746 sqft lot size', '2,430 sqft', '$197/sqft', '231 views']",479900.0,"[['2014-06-26 00:00:00', 370000, 'Listed for sale'], ['2014-09-19 00:00:00', 370000, 'Posting removed'], ['2016-01-14 00:00:00', 375000, 'Listed for sale'], ['2016-02-22 00:00:00', 364900, 'Price change'], ['2016-06-12 00:00:00', 349900, 'Price change'], ['2016-08-17 00:00:00', 345000, 'Price change'], ['2016-08-30 00:00:00', 329900, 'Price change'], ['2016-09-26 00:00:00', 329000, 'Price change'], ['2016-12-12 00:00:00', 324900, 'Price change'], ['2017-01-04 00:00:00', 324999, 'Price change'], ['2017-01-06 00:00:00', 324900, 'Price change'], ['2017-01-08 00:00:00', 324999, 'Price change'], ['2017-01-09 00:00:00', 324999, 'Price change'], ['2017-01-21 00:00:00', 319900, 'Price change'], ['2017-03-23 00:00:00', 315000, 'Price change'], ['2017-03-27 00:00:00', 315000, 'Pending'], ['2017-03-28 00:00:00', 315000, 'Posting removed'], ['2017-10-05 00:00:00', 290000, 'Sold'], ['2018-08-17 00:00:00', 489000, 'Listed for sale'], ['2018-09-07 00:00:00', 489000, 'Posting removed'], ['2018-09-17 00:00:00', 479900, 'Price change']]",197.0,"['$479,900', '$489,000', '$489,000', '$290,000', '$315,000', '$315,000', '$315,000', '$319,900', '$324,999', '$324,999', '$324,900', '$324,999', '$324,900', '$329,000', '$329,900', '$345,000', '$349,900', '$364,900', '$375,000', '$370,000', '$370,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,215 Square Feet', 'Lot Size: 3,745 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5863-n-kingsdale-ave-chicago-il-60646--1087098,231.0,1953.0,60646.0,78555,98143.0,27177,3,"['1.5 km', '2.2 km', '0.3 km', '13.5 km', '0.1 km']",['17.6 km'],"['18 mins', '4 mins', '4 mins', '26 mins', '1 min']",['58 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Milwaukee North', 'Blue Line']",[41.9865322],[-87.7440302]
4,4,6013 N Kildare Ave,4148.0,4.0,5.0,"Chicago, IL 60646",,9.0,,"['5 Bedrooms', '4 Bathrooms', 'Single-Family Home', '4,148 Square Feet']",08/17/2018,,,&lpar;Sauganash&rpar;,"['Single-Family Home', '5 Beds', '4 Baths', 'Built in 2018', '49 days on Trulia', '4,148 sqft', '$207/sqft', '573 views', '$66/monthly HOA']",859995.0,,207.0,,,,https://www.trulia.com/p/il/chicago/6013-n-kildare-ave-chicago-il-60646--2340850202,573.0,2018.0,60646.0,78555,98143.0,27177,4,"['0.7 km', '4.1 km', '0.2 km', '12.0 km', '0.1 km']",['17.0 km'],"['8 mins', '14 mins', '2 mins', '23 mins', '1 min']",['51 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Pulaski', 'Blue Line']",[41.9901321],[-87.7357662]
5,5,5626 N Mulligan Ave,1200.0,2.0,4.0,"Chicago, IL 60646","['09/19/2018', '04/06/2010', '07/16/2008', '10/26/2007', '08/31/2005', '12/10/2004', '06/12/2003']",6.0,"['Listed for sale', 'Sold', 'Posting removed', 'Listed for sale', 'Sold', 'Sold', 'Sold']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,200 Square Feet', 'Lot Size: 3720 sqft']",09/19/2018,3720.0,sqft,&lpar;Old Norwood Park&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1920', '16 days on Trulia', '3720 sqft lot size', '1,200 sqft', '$229/sqft', '85 views']",275000.0,"[['2003-06-12 00:00:00', 255000, 'Sold'], ['2004-12-10 00:00:00', 355500, 'Sold'], ['2005-08-31 00:00:00', 420000, 'Sold'], ['2007-10-26 00:00:00', 399000, 'Listed for sale'], ['2008-07-16 00:00:00', 399000, 'Posting removed'], ['2010-04-06 00:00:00', 145000, 'Sold'], ['2018-09-19 00:00:00', 275000, 'Listed for sale']]",229.0,"['$275,000', '$145,000', '$399,000', '$399,000', '$420,000', '$355,500', '$255,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,200 Square Feet', 'Lot Size: 3,720 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5626-n-mulligan-ave-chicago-il-60646--1000369,85.0,1920.0,60646.0,78555,98143.0,27177,5,"['0.4 km', '2.3 km', '18 m', '15.3 km', '0.1 km']",['18.1 km'],"['5 mins', '5 mins', '1 min', '28 mins', '1 min']",['47 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Northwest Highway', 'Blue Line']",[41.983688],[-87.78656029999999]
6,6,6772 N Dowagiac Ave,2055.0,3.0,5.0,"Chicago, IL 60646","['08/22/2018', '07/21/2010', '06/04/2010', '03/03/2010', '12/18/2009', '10/16/2009', '04/30/2009', '12/21/2008']",4.0,"['Listed for sale', 'Sold', 'Posting removed', 'Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale']","['5 Bedrooms', '3 Bathrooms', 'Single-Family Home', '2,055 Square Feet', 'Lot Size: 6500 sqft']",10/02/2018,6500.0,sqft,&lpar;Edgebrook&rpar;,"['Single-Family Home', '5 Beds', '3 Baths', 'Built in 1938', '44 days on Trulia', '6500 sqft lot size', '2,055 sqft', '$272/sqft', '291 views']",559000.0,"[['2008-12-21 00:00:00', 569900, 'Listed for sale'], ['2009-04-30 00:00:00', 549900, 'Price change'], ['2009-10-16 00:00:00', 535900, 'Price change'], ['2009-12-18 00:00:00', 519000, 'Price change'], ['2010-03-03 00:00:00', 499900, 'Price change'], ['2010-06-04 00:00:00', 499900, 'Posting removed'], ['2010-07-21 00:00:00', 450000, 'Sold'], ['2018-08-22 00:00:00', 569000, 'Listed for sale']]",272.0,"['$569,000', '$450,000', '$499,900', '$499,900', '$519,000', '$535,900', '$549,900', '$569,900']","['5 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,811 Square Feet', 'Lot Size: 6,500 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6772-n-dowagiac-ave-chicago-il-60646--2104540064,291.0,1938.0,60646.0,78555,98143.0,27177,6,"['0.7 km', '4.6 km', '0.3 km', '13.5 km', '0.1 km']",['19.2 km'],"['8 mins', '7 mins', '4 mins', '26 mins', '1 min']",['51 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Milwaukee North', 'Blue Line']",[42.0037157],[-87.7643535]
7,7,6021 N Nagle Ave,2010.0,2.0,4.0,"Chicago, IL 60646","['04/22/2009', '01/20/2009', '09/23/2008', '09/08/2008']",9.0,"['Sold', 'Posting removed', 'Price change', 'Listed for sale']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,010 Square Feet', 'Lot Size: 3750 sqft']",10/04/2018,3750.0,sqft,&lpar;Norwood Park East&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1923', '9 days on Trulia', '3750 sqft lot size', '2,010 sqft', '$179/sqft', '85 views']",359900.0,"[['2008-09-08 00:00:00', 399000, 'Listed for sale'], ['2008-09-23 00:00:00', 379900, 'Price change'], ['2009-01-20 00:00:00', 379900, 'Posting removed'], ['2009-04-22 00:00:00', 280000, 'Sold']]",179.0,"['$280,000', '$379,900', '$379,900', '$399,000']","['5 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,010 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6021-n-nagle-ave-chicago-il-60646--1171384,85.0,1923.0,60646.0,78555,98143.0,27177,7,"['0.5 km', '3.0 km', '31 m', '15.3 km', '0.1 km']",['19.0 km'],"['7 mins', '7 mins', '1 min', '28 mins', '1 min']",['48 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Milwaukee Avenue', 'Blue Line']",[41.9907845],[-87.7875365]
8,8,6139 N Keeler Ave,3120.0,3.0,5.0,"Chicago, IL 60646","['09/12/2018', '09/01/2016', '08/22/2016', '07/13/2016', '06/20/2016', '06/29/2006', '10/19/2000']",3.0,"['Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Listed for sale', 'Sold', 'Sold']","['5 Bedrooms', '3 Bathrooms', 'Single-Family Home', '3,120 Square Feet', 'Lot Size: 4090 sqft']",09/26/2018,4090.0,sqft,&lpar;Sauganash&rpar;,"['Single-Family Home', '5 Beds', '3 Baths', 'Built in 1939', '23 days on Trulia', '4090 sqft lot size', '3,120 sqft', '$181/sqft', '140 views']",565000.0,"[['2000-10-19 00:00:00', 282000, 'Sold'], ['2006-06-29 00:00:00', 587000, 'Sold'], ['2016-06-20 00:00:00', 525000, 'Listed for sale'], ['2016-07-13 00:00:00', 525000, 'Pending'], ['2016-08-22 00:00:00', 525000, 'Posting removed'], ['2016-09-01 00:00:00', 520000, 'Sold'], ['2018-09-12 00:00:00', 570000, 'Listed for sale']]",181.0,"['$570,000', '$520,000', '$525,000', '$525,000', '$525,000', '$587,000', '$282,000']","['3 Bedrooms', '3 Bathrooms', 'Single-Family Home', '1,953 Square Feet', 'Lot Size: 4,092 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6139-n-keeler-ave-chicago-il-60646--2104536694,140.0,1939.0,60646.0,78555,98143.0,27177,8,"['0.8 km', '4.1 km', '0.2 km', '12.0 km', '0.1 km']",['17.1 km'],"['10 mins', '14 mins', '2 mins', '23 mins', '1 min']",['53 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Pulaski', 'Blue Line']",[41.9930992],[-87.733683]
9,9,6341 N Kedvale Ave,1200.0,4.0,3.0,"Chicago, IL 60646","['09/21/2018', '10/21/2015']",4.0,"['Listed for sale', 'Sold']","['3 Bedrooms', '4 Bathrooms', 'Single-Family Home', '1,200 Square Feet', 'Lot Size: 4090 sqft']",10/05/2018,4090.0,sqft,&lpar;Sauganash&rpar;,"['Single-Family Home', '3 Beds', '4 Baths', 'Built in 1954', '14 days on Trulia', '4090 sqft lot size', '1,200 sqft', '$458/sqft', '70 views']",549000.0,"[['2015-10-21 00:00:00', 195000, 'Sold'], ['2018-09-21 00:00:00', 569900, 'Listed for sale']]",458.0,"['$569,900', '$195,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,137 Square Feet', 'Lot Size: 4,092 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6341-n-kedvale-ave-chicago-il-60646--2104538796,70.0,1954.0,60646.0,78555,98143.0,27177,9,"['1.1 km', '4.1 km', '0.2 km', '12.0 km', '0.1 km']",['17.4 km'],"['14 mins', '14 mins', '2 mins', '23 mins', '1 min']",['57 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Pulaski', 'Blue Line']",[41.9965571],[-87.7324965]
10,10,4217 W Harrington Ln,1994.0,4.0,2.0,"Chicago, IL 60646","['08/17/2018', '09/21/2000']",9.0,"['Listed for sale', 'Sold']","['2 Bedrooms', '4 Bathrooms', 'Townhouse', '1,994 Square Feet']",08/17/2018,,,&lpar;Sauganash&rpar;,"['Townhouse', '2 Beds', '4 Baths', 'Built in 1992', '49 days on Trulia', '1,994 sqft', '$201/sqft', '179 views', '$425/monthly HOA']",399900.0,"[['2000-09-21 00:00:00', 334000, 'Sold'], ['2018-08-17 00:00:00', 399900, 'Listed for sale']]",201.0,"['$399,900', '$334,000']","['3 Bedrooms', '2 Bathrooms', 'Townhouse', '1,994 Square Feet', 'Lot Size: 2,110 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/4217-w-harrington-ln-chicago-il-60646--2104531368,179.0,1992.0,60646.0,78555,98143.0,27177,10,"['0.7 km', '4.1 km', '0.2 km', '12.0 km', '0.1 km']",['17.1 km'],"['9 mins', '14 mins', '2 mins', '23 mins', '1 min']",['52 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Pulaski', 'Blue Line']",[41.9895623],[-87.7343927]
