,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,1600,11225 S Avenue L,900.0,1.0,2.0,"Chicago, IL 60617","['09/14/2018', '06/10/2014', '05/28/2014', '04/18/2014', '04/09/2014']",2.0,"['Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Listed for sale']","['2 Bedrooms', '1 Bathroom', 'Condo', '900 Square Feet']",09/21/2018,,,&lpar;East Side&rpar;,"['Condo', '2 Beds', '1 Bath', 'Built in 1946', '22 days on Trulia', '900 sqft', '$89/sqft', '146 views']",79900.0,"[['2014-04-09 00:00:00', 54900, 'Listed for sale'], ['2014-04-18 00:00:00', 54900, 'Pending'], ['2014-05-28 00:00:00', 54900, 'Posting removed'], ['2014-06-10 00:00:00', 42500, 'Sold'], ['2018-09-14 00:00:00', 79900, 'Listed for sale']]",89.0,"['$79,900', '$42,500', '$54,900', '$54,900', '$54,900']","['2 Bedrooms', '1 Bathroom', 'Townhouse', '947 Square Feet', 'Lot Size: 3,187 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/11225-s-avenue-l-chicago-il-60617--2104041972,146.0,1946.0,60617.0,39216,49689.0,84155,1600,"['0.1 km', '6.5 km', '0.1 km', '31.1 km', '0.4 km']",['38.3 km'],"['2 mins', '12 mins', '2 mins', '41 mins', '6 mins']",['1 hour 13 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'HEAVY_RAIL']","['South Chicago', 'South Shore Line']",[41.6910969],[-87.5400476]
1,1601,1626 E 93rd St,2400.0,2.0,4.0,"Chicago, IL 60617","['08/21/2017', '08/11/2017', '08/04/2017', '07/27/2017', '07/27/2017', '06/06/2017']",8.0,"['Sold', 'Posting removed', 'Pending', 'Price change', 'Pending to active status', 'Listed for sale']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,400 Square Feet', 'Lot Size: 3075 sqft']",09/28/2018,3075.0,sqft,&lpar;Calumet Heights&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1955', '8 days on Trulia', '3075 sqft lot size', '2,400 sqft', '$90/sqft', '94 views']",214900.0,"[['2017-06-06 00:00:00', 60000, 'Listed for sale'], ['2017-07-27 00:00:00', 65000, 'Price change'], ['2017-07-27 00:00:00', 60000, 'Pending to active status'], ['2017-08-04 00:00:00', 65000, 'Pending'], ['2017-08-11 00:00:00', 65000, 'Posting removed'], ['2017-08-21 00:00:00', 65000, 'Sold']]",90.0,"['$65,000', '$65,000', '$65,000', '$65,000', '$60,000', '$60,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,011 Square Feet', 'Lot Size: 3,075 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/1626-e-93rd-st-chicago-il-60617--2104044513,94.0,1955.0,60617.0,39216,49689.0,84155,1601,"['84 m', '2.1 km', '0.5 km', '18.1 km', '0.4 km']",['21.2 km'],"['1 min', '6 mins', '6 mins', '33 mins', '6 mins']",['1 hour 1 min'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'HEAVY_RAIL']","['95th', 'Metra Electric']",[41.7260247],[-87.5838148]
2,1602,8356 S Buffalo Ave,2100.0,2.0,4.0,"Chicago, IL 60617","['07/18/2018', '01/08/2009']",0.0,"['Listed for sale', 'Sold']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,100 Square Feet', 'Lot Size: 2975 sqft']",07/19/2018,2975.0,sqft,&lpar;The Bush&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1885', '80 days on Trulia', '2975 sqft lot size', '2,100 sqft', '$67/sqft', '22 views']",139900.0,"[['2009-01-08 00:00:00', 106000, 'Sold'], ['2018-07-18 00:00:00', 139900, 'Listed for sale']]",67.0,"['$139,900', '$106,000']","['3 Bedrooms', '2 Bathrooms', 'Multi-Family', '1,000 Square Feet', 'Lot Size: 3,100 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/8356-s-buffalo-ave-chicago-il-60617--1001547556,22.0,1885.0,60617.0,39216,49689.0,84155,1602,"['0.8 km', '18.7 km', '0.4 km']",['19.9 km'],"['10 mins', '36 mins', '6 mins']",['52 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Metra Electric'],[41.7431104],[-87.544281]
3,1603,10246 S Van Vlissingen Rd,1082.0,2.0,3.0,"Chicago, IL 60617","['09/05/2018', '08/22/2018', '07/30/2018', '07/25/2018', '08/03/2015']",3.0,"['Price change', 'Price change', 'Price change', 'Listed for sale', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,082 Square Feet', 'Lot Size: 3624 sqft']",10/06/2018,3624.0,sqft,&lpar;South Deering&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1953', '73 days on Trulia', '3624 sqft lot size', '1,082 sqft', '$97/sqft', '250 views']",104500.0,"[['2015-08-03 00:00:00', 15000, 'Sold'], ['2018-07-25 00:00:00', 123500, 'Listed for sale'], ['2018-07-30 00:00:00', 119900, 'Price change'], ['2018-08-22 00:00:00', 114900, 'Price change'], ['2018-09-05 00:00:00', 109900, 'Price change']]",97.0,"['$109,900', '$114,900', '$119,900', '$123,500', '$15,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,082 Square Feet', 'Lot Size: 3,625 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/10246-s-van-vlissingen-rd-chicago-il-60617--2104036688,250.0,1953.0,60617.0,39216,49689.0,84155,1603,"['0.6 km', '6.2 km', '48 m', '15.1 km', '0.4 km']",['22.4 km'],"['7 mins', '20 mins', '1 min', '28 mins', '6 mins']",['1 hour 6 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'HEAVY_RAIL']","['Jeffery Jump', 'Metra Electric']",[41.7088771],[-87.56820839999999]
4,1604,9936 S Van Vlissingen Rd,954.0,1.0,3.0,"Chicago, IL 60617","['07/19/2018', '01/04/2018', '08/08/2017', '06/21/2017', '08/31/2006', '05/17/2004', '03/17/2004', '10/12/1993']",9.0,"['Listed for sale', 'Posting removed', 'Price change', 'Listed for sale', 'Sold', 'Sold', 'Sold', 'Sold']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '954 Square Feet', 'Lot Size: 6699 sqft']",08/11/2018,6699.0,sqft,&lpar;Jeffery Manor&rpar;,"['Single-Family Home', '3 Beds', '1 Bath', 'Built in 1951', '79 days on Trulia', '6699 sqft lot size', '954 sqft', '$84/sqft', '171 views']",79900.0,"[['1993-10-12 00:00:00', 35333, 'Sold'], ['2004-03-17 00:00:00', 65000, 'Sold'], ['2004-05-17 00:00:00', 70000, 'Sold'], ['2006-08-31 00:00:00', 103000, 'Sold'], ['2017-06-21 00:00:00', 74900, 'Listed for sale'], ['2017-08-08 00:00:00', 85000, 'Price change'], ['2018-01-04 00:00:00', 85000, 'Posting removed'], ['2018-07-19 00:00:00', 79900, 'Listed for sale']]",84.0,"['$79,900', '$85,000', '$85,000', '$74,900', '$103,000', '$70,000', '$65,000', '$35,333']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '954 Square Feet', 'Lot Size: 6,700 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/9936-s-van-vlissingen-rd-chicago-il-60617--2104065048,171.0,1951.0,60617.0,39216,49689.0,84155,1604,"['1.0 km', '4.8 km', '0.4 km', '18.4 km', '0.2 km']",['24.8 km'],"['13 mins', '11 mins', '6 mins', '27 mins', '3 mins']",['1 hour 7 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Jeffery Manor Express', 'Red Line']",[41.7143982],[-87.5733362]
5,1605,9036 S Jeffery Blvd,1414.0,2.0,3.0,"Chicago, IL 60617","['04/20/2011', '04/01/2011', '01/21/2011', '12/18/2010', '11/15/2004']",4.0,"['Sold', 'Posting removed', 'Price change', 'Price change', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,414 Square Feet', 'Lot Size: 3750 sqft']",10/02/2018,3750.0,sqft,&lpar;Calumet Heights&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1945', '4 days on Trulia', '3750 sqft lot size', '1,414 sqft', '$120/sqft', '75 views']",169000.0,"[['2004-11-15 00:00:00', 145000, 'Sold'], ['2010-12-18 00:00:00', 60600, 'Price change'], ['2011-01-21 00:00:00', 55600, 'Price change'], ['2011-04-01 00:00:00', 55600, 'Posting removed'], ['2011-04-20 00:00:00', 61000, 'Sold']]",120.0,"['$61,000', '$55,600', '$55,600', '$60,600', '$145,000']","['3 Bedrooms', '1.5 Bathrooms', 'Single-Family Home', '1,414 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/9036-s-jeffery-blvd-chicago-il-60617--2104059407,75.0,1945.0,60617.0,39216,49689.0,84155,1605,"['0.1 km', '3.9 km', '48 m', '15.1 km', '0.4 km']",['19.6 km'],"['2 mins', '13 mins', '1 min', '28 mins', '6 mins']",['55 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'HEAVY_RAIL']","['Jeffery Local', 'Metra Electric']",[41.7304425],[-87.5755897]
6,1606,8347 S Kingston Ave,860.0,1.0,4.0,"Chicago, IL 60617","['09/17/2018', '09/12/2018', '03/31/2015', '02/25/2015', '05/20/2008', '05/11/2007']",4.0,"['Price change', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Sold', 'Sold']","['4 Bedrooms', '1 Bathroom', 'Single-Family Home', '860 Square Feet', 'Lot Size: 3750 sqft']",09/24/2018,3750.0,sqft,&lpar;South Chicago&rpar;,"['Single-Family Home', '4 Beds', '1 Bath', 'Built in 1915', '24 days on Trulia', '3750 sqft lot size', '860 sqft', '$128/sqft', '213 views']",110000.0,"[['2007-05-11 00:00:00', 55000, 'Sold'], ['2008-05-20 00:00:00', 154500, 'Sold'], ['2015-02-25 00:00:00', 12500, 'Listed for sale'], ['2015-03-31 00:00:00', 12500, 'Posting removed'], ['2018-09-12 00:00:00', 125000, 'Listed for sale'], ['2018-09-17 00:00:00', 120000, 'Price change']]",128.0,"['$120,000', '$125,000', '$12,500', '$12,500', '$154,500', '$55,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '860 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/8347-s-kingston-ave-chicago-il-60617--875468,213.0,1915.0,60617.0,39216,49689.0,84155,1606,"['1.1 km', '18.7 km', '0.4 km']",['20.2 km'],"['13 mins', '36 mins', '6 mins']",['55 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Metra Electric'],[41.7431333],[-87.5624093]
7,1607,10013 S Merrill Ave,1176.0,2.0,4.0,"Chicago, IL 60617","['02/21/2018', '02/14/2018', '01/17/2018', '01/16/2018', '01/13/2018', '12/30/2017', '10/30/2017', '10/19/2017', '09/20/2017', '08/24/2017', '07/29/2017', '07/20/2017', '07/20/2017', '10/21/2014', '11/07/2005']",3.0,"['Sold', 'Posting removed', 'Pending to active status', 'Posting removed', 'Pending to active status', 'Pending to active status', 'Pending', 'Pending to active status', 'Pending', 'Posting removed', 'Posting removed', 'Listed for sale', 'Price change', 'Sold', 'Sold']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,176 Square Feet', 'Lot Size: 3720 sqft']",10/03/2018,3720.0,sqft,&lpar;South Deering&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1956', '3 days on Trulia', '3720 sqft lot size', '1,176 sqft', '$157/sqft', '248 views']",184900.0,"[['2005-11-07 00:00:00', 110000, 'Sold'], ['2014-10-21 00:00:00', 49000, 'Sold'], ['2017-07-20 00:00:00', 25000, 'Listed for sale'], ['2017-07-20 00:00:00', 37100, 'Price change'], ['2017-07-29 00:00:00', 37100, 'Posting removed'], ['2017-08-24 00:00:00', 37100, 'Posting removed'], ['2017-09-20 00:00:00', 37100, 'Pending'], ['2017-10-19 00:00:00', 37100, 'Pending to active status'], ['2017-10-30 00:00:00', 37100, 'Pending'], ['2017-12-30 00:00:00', 37100, 'Pending to active status'], ['2018-01-13 00:00:00', 37100, 'Pending to active status'], ['2018-01-16 00:00:00', 37100, 'Posting removed'], ['2018-01-17 00:00:00', 37100, 'Pending to active status'], ['2018-02-14 00:00:00', 37100, 'Posting removed'], ['2018-02-21 00:00:00', 49000, 'Sold']]",157.0,"['$49,000', '$37,100', '$37,100', '$37,100', '$37,100', '$37,100', '$37,100', '$37,100', '$37,100', '$37,100', '$37,100', '$25,000', '$37,100', '$49,000', '$110,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,176 Square Feet', 'Lot Size: 3,720 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/10013-s-merrill-ave-chicago-il-60617--2104035350,248.0,1956.0,60617.0,39216,49689.0,84155,1607,"['0.2 km', '6.0 km', '48 m', '15.1 km', '0.4 km']",['21.8 km'],"['2 mins', '19 mins', '1 min', '28 mins', '6 mins']",['1 hour 1 min'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'HEAVY_RAIL']","['Jeffery Local', 'Metra Electric']",[41.7129132],[-87.5705773]
8,1608,1736 E 84th St,2000.0,3.0,5.0,"Chicago, IL 60617","['09/20/2018', '08/31/2018', '12/11/2017']",6.0,"['Price change', 'Listed for sale', 'Sold']","['5 Bedrooms', '3 Bathrooms', 'Single-Family Home', '2,000 Square Feet', 'Lot Size: 3750 sqft']",09/20/2018,3750.0,sqft,&lpar;Stony Island Park&rpar;,"['Single-Family Home', '5 Beds', '3 Baths', 'Built in 1923', '36 days on Trulia', '3750 sqft lot size', '2,000 sqft', '$119/sqft', '410 views']",237900.0,"[['2017-12-11 00:00:00', 36000, 'Sold'], ['2018-08-31 00:00:00', 239900, 'Listed for sale'], ['2018-09-20 00:00:00', 237900, 'Price change']]",119.0,"['$237,900', '$239,900', '$36,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,166 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/1736-e-84th-st-chicago-il-60617--2104045000,410.0,1923.0,60617.0,39216,49689.0,84155,1608,"['1.6 km', '16.4 km', '0.4 km']",['18.4 km'],"['20 mins', '29 mins', '6 mins']",['54 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Metra Electric'],[41.7424623],[-87.5814207]
9,1609,468 N Canal St,2754.0,3.0,3.0,"Chicago, IL 60654","['08/30/2018', '11/09/2015', '01/12/2011', '12/15/2010', '11/13/2010', '10/09/2010', '03/03/2010', '11/14/2009', '07/10/2009', '03/11/2009', '05/13/2005']",6.0,"['Listed for sale', 'Sold', 'Sold', 'Posting removed', 'Pending', 'Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Sold']","['3 Bedrooms', '3 Bathrooms', 'Condo', '2,754 Square Feet', 'Lot Size: 1208 sqft']",09/10/2018,1208.0,sqft,&lpar;Fulton River District&rpar;,"['Condo', '3 Beds', '3 Baths', 'Built in 2003', '36 days on Trulia', '1208 sqft lot size', '2,754 sqft', '$508/sqft', '191 views', '$903/monthly HOA']",1400000.0,"[['2005-05-13 00:00:00', 725000, 'Sold'], ['2009-03-11 00:00:00', 949000, 'Listed for sale'], ['2009-07-10 00:00:00', 899000, 'Price change'], ['2009-11-14 00:00:00', 879000, 'Price change'], ['2010-03-03 00:00:00', 799000, 'Price change'], ['2010-10-09 00:00:00', 749000, 'Price change'], ['2010-11-13 00:00:00', 749000, 'Pending'], ['2010-12-15 00:00:00', 749000, 'Posting removed'], ['2011-01-12 00:00:00', 687500, 'Sold'], ['2015-11-09 00:00:00', 1200000, 'Sold'], ['2018-08-30 00:00:00', 1400000, 'Listed for sale']]",508.0,"['$1,400,000', '$1,200,000', '$687,500', '$749,000', '$749,000', '$749,000', '$799,000', '$879,000', '$899,000', '$949,000', '$725,000']","['2 Bedrooms', '2 Bathrooms', 'Townhouse', '2,284 Square Feet', 'Lot Size: 1,208 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/468-n-canal-st-chicago-il-60654--2104630608,191.0,2003.0,60654.0,93396,136959.0,14875,1609,"['0.6 km', '2.0 km', '0.1 km']",['2.7 km'],"['8 mins', '5 mins', '1 min']",['12 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.8905925],[-87.64149119999999]
10,1610,451 W Huron St #1202,700.0,1.0,1.0,"Chicago, IL 60654","['09/11/2018', '12/12/2007']",4.0,"['Listed for sale', 'Sold']","['1 Bedroom', '1 Bathroom', 'Condo', '700 Square Feet']",09/11/2018,,,&lpar;Near North&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 2006', '24 days on Trulia', '700 sqft', '$484/sqft', '55 views', '$426/monthly HOA']",339000.0,"[['2007-12-12 00:00:00', 287500, 'Sold'], ['2018-09-11 00:00:00', 339000, 'Listed for sale']]",484.0,"['$339,000', '$287,500']","['Condo', 'Lot Size: 0.48 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/451-w-huron-st-1202-chicago-il-60654--2104630270,55.0,2006.0,60654.0,93396,136959.0,14875,1610,"['0.5 km', '1.6 km', '0.2 km']",['2.2 km'],"['6 mins', '6 mins', '3 mins']",['14 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.8947039],[-87.6404341]
