,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,3300,1509 N Artesian Ave #1N,1400.0,3.0,3.0,"Chicago, IL 60622",,1.0,,"['3 Bedrooms', '3 Bathrooms', 'Condo', '1,400 Square Feet']",09/24/2018,,,&lpar;Humboldt Park&rpar;,"['Condo', '3 Beds', '3 Baths', 'Built in 2006', '11 days on Trulia', '1,400 sqft', '$306/sqft', '77 views', '$225/monthly HOA']",429000.0,,306.0,,,,https://www.trulia.com/p/il/chicago/1509-n-artesian-ave-1n-chicago-il-60622--2178256315,77.0,2006.0,60622.0,62491,83856.0,52548,3300,"['0.9 km', '6.3 km', '0.1 km']",['7.3 km'],"['12 mins', '13 mins', '1 min']",['25 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9087659],[-87.6883558]
1,3301,2428 W Iowa St #3W,1750.0,2.0,3.0,"Chicago, IL 60622",,2.0,,"['3 Bedrooms', '2 Bathrooms', 'Condo', '1,750 Square Feet']",10/03/2018,,,&lpar;Humboldt Park&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 2000', '2 days on Trulia', '1,750 sqft', '$220/sqft', '341 views', '$224/monthly HOA']",385000.0,,220.0,,,,https://www.trulia.com/p/il/chicago/2428-w-iowa-st-3w-chicago-il-60622--2104160522,341.0,2000.0,60622.0,62491,83856.0,52548,3301,"['1.1 km', '5.0 km', '1.3 km']",['7.4 km'],"['13 mins', '12 mins', '16 mins']",['42 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Milwaukee North'],[41.8975813],[-87.68806409999999]
2,3302,2552 W Walton St #3,2200.0,3.0,3.0,"Chicago, IL 60622",,3.0,,"['3 Bedrooms', '3 Bathrooms', 'Condo', '2,200 Square Feet', 'Lot Size: 3125 sqft']",10/02/2018,3125.0,sqft,&lpar;Humboldt Park&rpar;,"['Condo', '3 Beds', '3 Baths', 'Built in 2001', '3 days on Trulia', '3125 sqft lot size', '2,200 sqft', '$216/sqft', '26 views']",475000.0,,216.0,,,,https://www.trulia.com/p/il/chicago/2552-w-walton-st-3-chicago-il-60622--2104161075,26.0,2001.0,60622.0,62491,83856.0,52548,3302,"['1.2 km', '5.0 km', '1.3 km']",['7.5 km'],"['15 mins', '12 mins', '16 mins']",['44 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Milwaukee North'],[41.8984457],[-87.69149519999999]
3,3303,2441 W Haddon Ave #1,2600.0,3.0,3.0,"Chicago, IL 60622",,,,"['3 Bedrooms', '3 Bathrooms', 'Condo', '2,600 Square Feet']",10/04/2018,,,&lpar;Humboldt Park&rpar;,"['Condo', '3 Beds', '3 Baths', 'Built in 2017', '1 day on Trulia', '2,600 sqft', '$231/sqft', '541 views', '$259/monthly HOA']",599900.0,,231.0,,,,https://www.trulia.com/p/il/chicago/2441-w-haddon-ave-1-chicago-il-60622--2317349563,541.0,2017.0,60622.0,62491,83856.0,52548,3303,"['1.8 km', '5.3 km', '0.1 km']",['7.1 km'],"['22 mins', '11 mins', '1 min']",['34 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9020246],[-87.6886451]
4,3304,2737 W Le Moyne St #B,1000.0,1.0,1.0,"Chicago, IL 60622",['04/29/2013'],3.0,['Sold'],"['1 Bedroom', '1 Bathroom', 'Condo', '1,000 Square Feet']",10/02/2018,,,&lpar;Humboldt Park&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1927', '3 days on Trulia', '1,000 sqft', '$148/sqft', '20 views', '$106/monthly HOA']",147500.0,"[['2013-04-29 00:00:00', 40000, 'Sold']]",148.0,"['$40,000']","['Condo', 'Lot Size: 6,244 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/2737-w-le-moyne-st-b-chicago-il-60622--2202393427,20.0,1927.0,60622.0,62491,83856.0,52548,3304,"['1.6 km', '6.3 km', '0.1 km']",['8.0 km'],"['20 mins', '13 mins', '1 min']",['33 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9083744],[-87.6961158]
5,3305,2616 W Rice St #3,1250.0,2.0,2.0,"Chicago, IL 60622","['09/20/2017', '09/14/2017', '08/01/2017', '07/20/2017', '07/15/2017', '05/13/2003']",6.0,"['Sold', 'Posting removed', 'Pending', 'Listed for sale', 'Listed for sale', 'Sold']","['2 Bedrooms', '2 Bathrooms', 'Condo', '1,250 Square Feet', 'Lot Size: 3109 sqft']",10/05/2018,3109.0,sqft,&lpar;Humboldt Park&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 2003', '6 days on Trulia', '3109 sqft lot size', '1,250 sqft', '$282/sqft', '138 views', '$113/monthly HOA']",352000.0,"[['2003-05-13 00:00:00', 285000, 'Sold'], ['2017-07-15 00:00:00', 344000, 'Listed for sale'], ['2017-07-20 00:00:00', 344000, 'Listed for sale'], ['2017-08-01 00:00:00', 344000, 'Pending'], ['2017-09-14 00:00:00', 344000, 'Posting removed'], ['2017-09-20 00:00:00', 336000, 'Sold']]",282.0,"['$336,000', '$344,000', '$344,000', '$344,000', '$344,000', '$285,000']","['Condo', 'Lot Size: 3,109 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/2616-w-rice-st-3-chicago-il-60622--2104161264,138.0,2003.0,60622.0,62491,83856.0,52548,3305,"['1.0 km', '5.0 km', '1.3 km']",['7.3 km'],"['13 mins', '12 mins', '16 mins']",['41 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Milwaukee North'],[41.8966265],[-87.6925358]
6,3306,826 N Marshfield Ave #1S,2640.0,3.0,4.0,"Chicago, IL 60622",,7.0,,"['4 Bedrooms', '3 Bathrooms', 'Condo', '2,640 Square Feet']",09/10/2018,,,&lpar;East Ukrainian Village&rpar;,"['Condo', '4 Beds', '3 Baths', 'Built in 2017', '27 days on Trulia', '2,640 sqft', '$263/sqft', '307 views', '$264/monthly HOA']",695000.0,,263.0,,,,https://www.trulia.com/p/il/chicago/826-n-marshfield-ave-1s-chicago-il-60622--2297314440,307.0,2017.0,60622.0,62491,83856.0,52548,3306,"['0.9 km', '4.2 km', '0.1 km']",['5.1 km'],"['11 mins', '9 mins', '1 min']",['20 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.896909],[-87.66848519999999]
7,3307,2115 W Chicago Ave #2,1400.0,2.0,2.0,"Chicago, IL 60622",,8.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,400 Square Feet']",09/10/2018,,,&lpar;West Town&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 2005', '48 days on Trulia', '1,400 sqft', '$264/sqft', '184 views', '$123/monthly HOA']",369000.0,,264.0,,,,https://www.trulia.com/p/il/chicago/2115-w-chicago-ave-2-chicago-il-60622--2104159165,184.0,2005.0,60622.0,62491,83856.0,52548,3307,"['1.9 km', '4.2 km', '0.1 km']",['6.2 km'],"['24 mins', '9 mins', '1 min']",['33 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.8958132],[-87.6800954]
8,3308,1400 N Milwaukee Ave #403,1100.0,2.0,2.0,"Chicago, IL 60622","['09/19/2018', '08/15/2018', '09/14/2009', '08/26/2009', '05/22/2009', '05/15/2009', '03/28/2009', '02/18/2009', '10/07/2003', '08/21/2001']",1.0,"['Price change', 'Listed for sale', 'Sold', 'Sold', 'Posting removed', 'Price change', 'Price change', 'Listed for sale', 'Sold', 'Sold']","['2 Bedrooms', '2 Bathrooms', 'Condo', '1,100 Square Feet', 'Lot Size: 8230 sqft']",09/19/2018,8230.0,sqft,&lpar;Wicker Park&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1886', '51 days on Trulia', '8230 sqft lot size', '1,100 sqft', '$341/sqft', '388 views', '$418/monthly HOA']",375000.0,"[['2001-08-21 00:00:00', 269000, 'Sold'], ['2003-10-07 00:00:00', 312000, 'Sold'], ['2009-02-18 00:00:00', 350000, 'Listed for sale'], ['2009-03-28 00:00:00', 335000, 'Price change'], ['2009-05-15 00:00:00', 325000, 'Price change'], ['2009-05-22 00:00:00', 325000, 'Posting removed'], ['2009-08-26 00:00:00', 310000, 'Sold'], ['2009-09-14 00:00:00', 310000, 'Sold'], ['2018-08-15 00:00:00', 380000, 'Listed for sale'], ['2018-09-19 00:00:00', 375000, 'Price change']]",341.0,"['$375,000', '$380,000', '$310,000', '$310,000', '$325,000', '$325,000', '$335,000', '$350,000', '$312,000', '$269,000']","['Condo', 'Lot Size: 8,230 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/1400-n-milwaukee-ave-403-chicago-il-60622--2104151611,388.0,1886.0,60622.0,62491,83856.0,52548,3308,"['0.6 km', '4.2 km', '0.1 km']",['4.9 km'],"['7 mins', '9 mins', '1 min']",['16 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9073924],[-87.6728548]
9,3309,2134 W Crystal St #1,2400.0,3.0,3.0,"Chicago, IL 60622","['08/02/2018', '09/17/2009', '03/13/2009', '01/17/2009', '11/21/2008', '11/03/2008', '10/08/2008', '06/28/2006', '07/12/2000']",4.0,"['Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Sold', 'Sold']","['3 Bedrooms', '3 Bathrooms', 'Condo', '2,400 Square Feet']",09/25/2018,,,&lpar;Wicker Park&rpar;,"['Condo', '3 Beds', '3 Baths', 'Built in 1998', '64 days on Trulia', '2,400 sqft', '$191/sqft', '423 views', '$424/monthly HOA']",459000.0,"[['2000-07-12 00:00:00', 305000, 'Sold'], ['2006-06-28 00:00:00', 405000, 'Sold'], ['2008-10-08 00:00:00', 499000, 'Listed for sale'], ['2008-11-03 00:00:00', 475000, 'Price change'], ['2008-11-21 00:00:00', 459900, 'Price change'], ['2009-01-17 00:00:00', 449000, 'Price change'], ['2009-03-13 00:00:00', 425000, 'Price change'], ['2009-09-17 00:00:00', 425000, 'Posting removed'], ['2018-08-02 00:00:00', 475000, 'Listed for sale']]",191.0,"['$475,000', '$425,000', '$425,000', '$449,000', '$459,900', '$475,000', '$499,000', '$405,000', '$305,000']","['Condo', 'Lot Size: 3,000 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/2134-w-crystal-st-1-chicago-il-60622--2104159437,423.0,1998.0,60622.0,62491,83856.0,52548,3309,"['0.9 km', '5.3 km', '0.1 km']",['6.3 km'],"['12 mins', '11 mins', '1 min']",['23 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9040828],[-87.68114960000001]
