,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,4000,9027 S Ada St,1497.0,1.0,4.0,"Chicago, IL 60620","['08/16/2018', '05/03/2000', '10/25/1999']",2.0,"['Posting removed', 'Sold', 'Sold']","['4 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,497 Square Feet', 'Lot Size: 4356 sqft']",10/06/2018,4356.0,sqft,&lpar;Brainerd&rpar;,"['Single-Family Home', '4 Beds', '1 Bath', 'Built in 1922', '2 days on Trulia', '4356 sqft lot size', '1,497 sqft', '$82/sqft']",122009.0,"[['1999-10-25 00:00:00', 62500, 'Sold'], ['2000-05-03 00:00:00', 106000, 'Sold'], ['2018-08-16 00:00:00', 135873, 'Posting removed']]",82.0,"['$135,873', '$106,000', '$62,500']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,152 Square Feet', 'Lot Size: 4,375 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/9027-s-ada-st-chicago-il-60620--2104130457,,1922.0,60620.0,35721,46456.0,72216,4000,"['0.4 km', '17.1 km', '0.1 km', '1.1 km', '0.1 km']",['18.8 km'],"['5 mins', '22 mins', '1 min', '4 mins', '1 min']",['37 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Rock Island', 'Blue Line']",[41.72958010000001],[-87.6567571]
1,4001,8640 S Loomis Blvd,1026.0,1.0,3.0,"Chicago, IL 60620","['08/31/2018', '09/19/2003', '02/02/1996']",6.0,"['Listed for sale', 'Sold', 'Sold']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,026 Square Feet', 'Lot Size: 3123 sqft']",08/31/2018,3123.0,sqft,&lpar;Gresham&rpar;,"['Single-Family Home', '3 Beds', '1 Bath', 'Built in 1922', '36 days on Trulia', '3123 sqft lot size', '1,026 sqft', '$136/sqft', '193 views']",139900.0,"[['1996-02-02 00:00:00', 85000, 'Sold'], ['2003-09-19 00:00:00', 107000, 'Sold'], ['2018-08-31 00:00:00', 139900, 'Listed for sale']]",136.0,"['$139,900', '$107,000', '$85,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,026 Square Feet', 'Lot Size: 3,125 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/8640-s-loomis-blvd-chicago-il-60620--2104127290,193.0,1922.0,60620.0,35721,46456.0,72216,4001,"['0.5 km', '17.1 km', '0.1 km', '1.1 km', '0.1 km']",['18.9 km'],"['6 mins', '22 mins', '1 min', '4 mins', '1 min']",['38 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Rock Island', 'Blue Line']",[41.7364052],[-87.65827469999999]
2,4002,7832 S Ada St,1300.0,2.0,4.0,"Chicago, IL 60620","['08/16/2018', '07/08/2018', '07/01/2018', '06/14/2018', '06/05/2018', '05/12/2018', '04/10/2018', '03/27/2018', '03/16/2018', '03/02/2018', '03/01/2018', '02/27/2018', '07/25/2017', '06/30/2017', '06/26/2017', '05/23/2017', '05/02/2017', '05/02/2017', '04/07/2017', '01/11/2017', '04/26/2016', '08/17/2007', '05/30/2006', '06/13/2005', '06/04/1998']",1.0,"['Posting removed', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Posting removed', 'Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Price change', 'Listed for sale', 'Posting removed', 'Posting removed', 'Listed for sale', 'Sold', 'Sold', 'Sold', 'Sold', 'Sold']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,300 Square Feet', 'Lot Size: 5950 sqft']",08/28/2018,5950.0,sqft,&lpar;Gresham&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1913', '221 days on Trulia', '5950 sqft lot size', '1,300 sqft', '$127/sqft', '937 views']",165000.0,"[['1998-06-04 00:00:00', 70000, 'Sold'], ['2005-06-13 00:00:00', 150000, 'Sold'], ['2006-05-30 00:00:00', 185000, 'Sold'], ['2007-08-17 00:00:00', 210000, 'Sold'], ['2016-04-26 00:00:00', 23000, 'Sold'], ['2017-01-11 00:00:00', 49500, 'Listed for sale'], ['2017-04-07 00:00:00', 49500, 'Posting removed'], ['2017-05-02 00:00:00', 44500, 'Listed for sale'], ['2017-05-02 00:00:00', 49500, 'Posting removed'], ['2017-05-23 00:00:00', 39500, 'Price change'], ['2017-06-26 00:00:00', 39500, 'Pending'], ['2017-06-30 00:00:00', 39500, 'Posting removed'], ['2017-07-25 00:00:00', 35000, 'Sold'], ['2018-02-27 00:00:00', 195000, 'Listed for sale'], ['2018-03-01 00:00:00', 185000, 'Posting removed'], ['2018-03-02 00:00:00', 185000, 'Price change'], ['2018-03-16 00:00:00', 182500, 'Price change'], ['2018-03-27 00:00:00', 179900, 'Price change'], ['2018-04-10 00:00:00', 176500, 'Price change'], ['2018-05-12 00:00:00', 175000, 'Price change'], ['2018-06-05 00:00:00', 172500, 'Price change'], ['2018-06-14 00:00:00', 170000, 'Price change'], ['2018-07-01 00:00:00', 168000, 'Price change'], ['2018-07-08 00:00:00', 165000, 'Price change'], ['2018-08-16 00:00:00', 165000, 'Posting removed']]",127.0,"['$165,000', '$165,000', '$168,000', '$170,000', '$172,500', '$175,000', '$176,500', '$179,900', '$182,500', '$185,000', '$185,000', '$195,000', '$35,000', '$39,500', '$39,500', '$39,500', '$44,500', '$49,500', '$49,500', '$49,500', '$23,000', '$210,000', '$185,000', '$150,000', '$70,000']","['2 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,058 Square Feet', 'Lot Size: 5,950 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/7832-s-ada-st-chicago-il-60620--2104118849,937.0,1913.0,60620.0,35721,46456.0,72216,4002,"['0.2 km', '2.5 km', '0.2 km', '15.2 km', '0.2 km']",['18.2 km'],"['2 mins', '10 mins', '2 mins', '23 mins', '3 mins']",['44 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['79th', 'Red Line']",[41.7513276],[-87.6570461]
3,4003,8903 S Union Ave,1020.0,2.0,3.0,"Chicago, IL 60620",['09/13/2018'],3.0,['Listed for sale'],"['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,020 Square Feet', 'Lot Size: 3275 sqft']",09/13/2018,3275.0,sqft,&lpar;Gresham&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1922', '23 days on Trulia', '3275 sqft lot size', '1,020 sqft', '$67/sqft', '226 views']",68500.0,"[['2018-09-13 00:00:00', 68500, 'Listed for sale']]",67.0,"['$68,500']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '896 Square Feet', 'Lot Size: 3,276 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/8903-s-union-ave-chicago-il-60620--2104129225,226.0,1922.0,60620.0,35721,46456.0,72216,4003,"['0.8 km', '15.7 km', '0.1 km', '1.1 km', '0.1 km']",['17.7 km'],"['11 mins', '19 mins', '1 min', '4 mins', '1 min']",['39 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Rock Island', 'Blue Line']",[41.7323642],[-87.6410386]
4,4004,7531 S Aberdeen St,1450.0,2.0,6.0,"Chicago, IL 60620",,0.0,,"['6 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,450 Square Feet', 'Lot Size: 3471 sqft']",10/05/2018,3471.0,sqft,&lpar;Gresham&rpar;,"['Single-Family Home', '6 Beds', '2 Baths', 'Built in 1922', '30 days on Trulia', '3471 sqft lot size', '1,450 sqft', '$145/sqft', '104 views']",209900.0,,145.0,,"['4 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,102 Square Feet', 'Lot Size: 3,472 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/7531-s-aberdeen-st-chicago-il-60620--2104115313,104.0,1922.0,60620.0,35721,46456.0,72216,4004,"['0.7 km', '2.0 km', '0.2 km', '15.2 km', '0.2 km']",['18.3 km'],"['9 mins', '8 mins', '2 mins', '23 mins', '3 mins']",['49 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['79th', 'Red Line']",[41.7566433],[-87.6514385]
5,4005,4951 N Wolcott Ave #2B,1000.0,1.0,2.0,"Chicago, IL 60640",,4.0,,"['2 Bedrooms', '1 Bathroom', 'Condo', '1,000 Square Feet']",09/23/2018,,,&lpar;Ravenswood&rpar;,"['Condo', '2 Beds', '1 Bath', 'Built in 1942', '24 days on Trulia', '1,000 sqft', '$268/sqft', '95 views', '$382/monthly HOA']",267500.0,,268.0,,,,https://www.trulia.com/p/il/chicago/4951-n-wolcott-ave-2b-chicago-il-60640--2123565931,95.0,1942.0,60640.0,43975,63299.0,65790,4005,"['0.5 km', '10.5 km', '0.8 km']",['11.8 km'],"['7 mins', '18 mins', '10 mins']",['35 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Union Pacific North'],[41.9721423],[-87.67624839999999]
6,4006,1953 W Foster Ave #2,900.0,1.0,2.0,"Chicago, IL 60640","['09/20/2018', '09/14/2018', '09/04/2018', '08/27/2018', '08/22/2018', '08/15/2018', '08/08/2018', '09/12/2014', '08/31/2006', '09/08/2004']",8.0,"['Price change', 'Price change', 'Price change', 'Posting removed', 'Price change', 'Price change', 'Listed for sale', 'Sold', 'Sold', 'Sold']","['2 Bedrooms', '1 Bathroom', 'Condo', '900 Square Feet']",09/28/2018,,,&lpar;Ravenswood&rpar;,"['Condo', '2 Beds', '1 Bath', 'Built in 1918', '58 days on Trulia', '900 sqft', '$283/sqft', '119 views', '$212/monthly HOA']",254900.0,"[['2004-09-08 00:00:00', 236000, 'Sold'], ['2006-08-31 00:00:00', 257500, 'Sold'], ['2014-09-12 00:00:00', 238000, 'Sold'], ['2018-08-08 00:00:00', 282000, 'Listed for sale'], ['2018-08-15 00:00:00', 274900, 'Price change'], ['2018-08-22 00:00:00', 269900, 'Price change'], ['2018-08-27 00:00:00', 269900, 'Posting removed'], ['2018-09-04 00:00:00', 269000, 'Price change'], ['2018-09-14 00:00:00', 264900, 'Price change'], ['2018-09-20 00:00:00', 259900, 'Price change']]",283.0,"['$259,900', '$264,900', '$269,000', '$269,900', '$269,900', '$274,900', '$282,000', '$238,000', '$257,500', '$236,000']","['Condo', 'Lot Size: 9,301 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/1953-w-foster-ave-2-chicago-il-60640--2121734182,119.0,1918.0,60640.0,43975,63299.0,65790,4006,"['1.1 km', '10.5 km', '0.8 km']",['12.3 km'],"['13 mins', '18 mins', '10 mins']",['42 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Union Pacific North'],[41.975997],[-87.6784345]
7,4007,5455 N Sheridan Rd #1804,840.0,1.0,1.0,"Chicago, IL 60640",,6.0,,"['1 Bedroom', '1 Bathroom', 'Condo', '840 Square Feet']",10/05/2018,,,&lpar;Edgewater&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1969', '36 days on Trulia', '840 sqft', '$208/sqft', '149 views', '$623/monthly HOA']",175000.0,,208.0,,"['Condo', 'Lot Size: 1.35 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/5455-n-sheridan-rd-1804-chicago-il-60640--2104451488,149.0,1969.0,60640.0,43975,63299.0,65790,4007,"['0.5 km', '12.5 km', '0.2 km']",['13.3 km'],"['7 mins', '29 mins', '3 mins']",['38 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.981664],[-87.655102]
8,4008,5048 N Marine Dr #E2,1300.0,1.0,2.0,"Chicago, IL 60640",,0.0,,"['2 Bedrooms', '1 Bathroom', 'Condo', '1,300 Square Feet']",09/18/2018,,,&lpar;Uptown&rpar;,"['Condo', '2 Beds', '1 Bath', 'Built in 1939', '50 days on Trulia', '1,300 sqft', '$150/sqft', '151 views', '$940/monthly HOA']",194900.0,,150.0,,,,https://www.trulia.com/p/il/chicago/5048-n-marine-dr-e2-chicago-il-60640--2175122049,151.0,1939.0,60640.0,43975,63299.0,65790,4008,"['0.8 km', '11.4 km', '0.2 km']",['12.4 km'],"['10 mins', '26 mins', '3 mins']",['39 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9749269],[-87.65163659999999]
9,4009,5000 N Marine Dr #11E,1000.0,1.0,1.0,"Chicago, IL 60640",,1.0,,"['1 Bedroom', '1 Bathroom', 'Condo', '1,000 Square Feet']",08/15/2018,,,&lpar;Uptown&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1923', '51 days on Trulia', '1,000 sqft', '$99/sqft', '813 views', '$1,185/monthly HOA']",99000.0,,99.0,,,,https://www.trulia.com/p/il/chicago/5000-n-marine-dr-11e-chicago-il-60640--2181129750,813.0,1923.0,60640.0,43975,63299.0,65790,4009,"['0.7 km', '11.4 km', '0.2 km']",['12.3 km'],"['8 mins', '26 mins', '3 mins']",['37 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9737014],[-87.6511763]
10,4010,5415 N Sheridan Rd #2106,1250.0,2.0,2.0,"Chicago, IL 60640",,3.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,250 Square Feet']",09/02/2018,,,&lpar;Edgewater&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1973', '33 days on Trulia', '1,250 sqft', '$200/sqft', '155 views', '$912/monthly HOA']",249900.0,,200.0,,,,https://www.trulia.com/p/il/chicago/5415-n-sheridan-rd-2106-chicago-il-60640--2104449775,155.0,1973.0,60640.0,43975,63299.0,65790,4010,"['0.5 km', '11.9 km', '0.2 km']",['12.7 km'],"['7 mins', '28 mins', '3 mins']",['37 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.98031940000001],[-87.6550448]
