,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,5300,927 W Vermont Ave,1066.0,1.0,2.0,"Chicago, IL 60643","['04/24/2018', '03/27/2018']",5.0,"['Listed for sale', 'Listed for sale']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,066 Square Feet', 'Lot Size: 4083 sqft']",04/24/2018,4083.0,sqft,&lpar;West Pullman&rpar;,"['Single-Family Home', '2 Beds', '1 Bath', 'Built in 1955', '165 days on Trulia', '4083 sqft lot size', '1,066 sqft', '$75/sqft', '208 views']",80000.0,"[['2018-03-27 00:00:00', 87000, 'Listed for sale'], ['2018-04-24 00:00:00', 80000, 'Listed for sale']]",75.0,"['$80,000', '$87,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,066 Square Feet', 'Lot Size: 4,083 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/927-w-vermont-ave-chicago-il-60643--2104502382,208.0,1955.0,60643.0,58105,74133.0,49952,5300,"['1.7 km', '26.5 km', '0.4 km']",['28.6 km'],"['21 mins', '48 mins', '6 mins']",['1 hour 14 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Metra Electric'],[41.661083],[-87.6448952]
1,5301,11613 S Racine Ave,731.0,1.0,2.0,"Chicago, IL 60643",,,,,,3125.0,sqft,,"['Single-Family Home', '2 Beds', '1 Bath', 'Built in 1966', '3,125 sqft lot size', '731 sqft']",67625.0,,,,,,https://www.trulia.com/p/il/chicago/11613-s-racine-ave-chicago-il-60643--2104493710,,1966.0,60643.0,58105,74133.0,49952,5301,"['1.7 km', '26.5 km', '0.4 km']",['28.6 km'],"['21 mins', '48 mins', '6 mins']",['1 hour 14 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Metra Electric'],[41.6827397],[-87.6517595]
2,5302,1248 W 108th Pl,1069.0,2.0,2.0,"Chicago, IL 60643","['09/15/2018', '09/04/2018', '06/30/2018', '06/25/2018', '05/09/2018', '04/24/2018', '11/20/2017', '10/18/2017', '08/24/2017', '06/16/2017', '04/21/2017', '03/24/2016', '09/24/2015', '03/21/2007']",5.0,"['Pending', 'Price change', 'Price change', 'Pending to active status', 'Pending', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Sold']","['2 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,069 Square Feet', 'Lot Size: 3123 sqft']",10/06/2018,3123.0,sqft,&lpar;Morgan Park&rpar;,"['Single-Family Home', '2 Beds', '2 Baths', 'Built in 1960', '165 days on Trulia', '3123 sqft lot size', '1,069 sqft', '$41/sqft', '124 views']",43700.0,"[['2007-03-21 00:00:00', 92500, 'Sold'], ['2015-09-24 00:00:00', 105000, 'Listed for sale'], ['2016-03-24 00:00:00', 105000, 'Posting removed'], ['2017-04-21 00:00:00', 82500, 'Listed for sale'], ['2017-06-16 00:00:00', 78400, 'Price change'], ['2017-08-24 00:00:00', 74500, 'Price change'], ['2017-10-18 00:00:00', 67000, 'Price change'], ['2017-11-20 00:00:00', 67000, 'Posting removed'], ['2018-04-24 00:00:00', 46000, 'Listed for sale'], ['2018-05-09 00:00:00', 46000, 'Pending'], ['2018-06-25 00:00:00', 46000, 'Pending to active status'], ['2018-06-30 00:00:00', 43700, 'Price change'], ['2018-09-04 00:00:00', 41515, 'Price change'], ['2018-09-15 00:00:00', 43700, 'Pending']]",41.0,"['$43,700', '$41,515', '$43,700', '$46,000', '$46,000', '$46,000', '$67,000', '$67,000', '$74,500', '$78,400', '$82,500', '$105,000', '$105,000', '$92,500']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,069 Square Feet', 'Lot Size: 3,125 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/1248-w-108th-pl-chicago-il-60643--1176193,124.0,1960.0,60643.0,58105,74133.0,49952,5302,"['1.5 km', '21.4 km', '0.1 km', '1.1 km', '0.1 km']",['24.2 km'],"['19 mins', '33 mins', '1 min', '4 mins', '1 min']",['1 hour 2 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Rock Island', 'Blue Line']",[41.6977159],[-87.65409849999999]
3,5303,1353 W 110th St,1552.0,2.0,4.0,"Chicago, IL 60643","['08/31/2018', '07/23/2018', '06/28/2018', '06/20/2018', '04/09/2018', '03/12/2018', '03/08/2018', '03/05/2018', '01/31/2018', '01/17/2018', '12/15/2017', '12/09/2017', '10/03/2017', '09/10/2017', '05/11/2017', '04/27/2017', '01/17/2017', '09/10/2016', '09/06/2014', '08/11/2014', '07/17/2014', '05/16/2014', '07/30/2004']",1.0,"['Posting removed', 'Pending', 'Price change', 'Posting removed', 'Pending', 'Pending to active status', 'Pending', 'Pending to active status', 'Pending', 'Price change', 'Posting removed', 'Posting removed', 'Pending', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Listed for sale', 'Sold']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,552 Square Feet', 'Lot Size: 6250 sqft']",10/05/2018,6250.0,sqft,&lpar;Morgan Park&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1959', '391 days on Trulia', '6250 sqft lot size', '1,552 sqft', '$42/sqft', '330 views']",65500.0,"[['2004-07-30 00:00:00', 125000, 'Sold'], ['2014-05-16 00:00:00', 165000, 'Listed for sale'], ['2014-07-17 00:00:00', 162500, 'Price change'], ['2014-08-11 00:00:00', 160000, 'Price change'], ['2014-09-06 00:00:00', 160000, 'Posting removed'], ['2016-09-10 00:00:00', 169900, 'Listed for sale'], ['2017-01-17 00:00:00', 129900, 'Price change'], ['2017-04-27 00:00:00', 119900, 'Price change'], ['2017-05-11 00:00:00', 119900, 'Posting removed'], ['2017-09-10 00:00:00', 81900, 'Listed for sale'], ['2017-10-03 00:00:00', 81900, 'Pending'], ['2017-12-09 00:00:00', 81900, 'Posting removed'], ['2017-12-15 00:00:00', 81900, 'Posting removed'], ['2018-01-17 00:00:00', 73500, 'Price change'], ['2018-01-31 00:00:00', 73500, 'Pending'], ['2018-03-05 00:00:00', 73500, 'Pending to active status'], ['2018-03-08 00:00:00', 73500, 'Pending'], ['2018-03-12 00:00:00', 73500, 'Pending to active status'], ['2018-04-09 00:00:00', 73500, 'Pending'], ['2018-06-20 00:00:00', 73500, 'Posting removed'], ['2018-06-28 00:00:00', 69900, 'Price change'], ['2018-07-23 00:00:00', 69900, 'Pending'], ['2018-08-31 00:00:00', 69900, 'Posting removed']]",42.0,"['$69,900', '$69,900', '$69,900', '$73,500', '$73,500', '$73,500', '$73,500', '$73,500', '$73,500', '$73,500', '$81,900', '$81,900', '$81,900', '$81,900', '$119,900', '$119,900', '$129,900', '$169,900', '$160,000', '$160,000', '$162,500', '$165,000', '$125,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,068 Square Feet', 'Lot Size: 6,250 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/1353-w-110th-st-chicago-il-60643--2104497821,330.0,1959.0,60643.0,58105,74133.0,49952,5303,"['1.6 km', '22.0 km', '0.1 km', '1.1 km', '0.1 km']",['24.9 km'],"['20 mins', '35 mins', '1 min', '4 mins', '1 min']",['1 hour 5 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Rock Island', 'Blue Line']",[41.6939705],[-87.65667140000001]
4,5304,11212 S Homewood Ave,792.0,1.0,2.0,"Chicago, IL 60643",['08/10/2018'],8.0,['Posting removed'],"['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '792 Square Feet', 'Lot Size: 4999 sqft']",08/10/2018,4999.0,sqft,&lpar;Morgan Park&rpar;,"['Single-Family Home', '2 Beds', '1 Bath', 'Built in 1910', '498 days on Trulia', '4999 sqft lot size', '792 sqft', '$35/sqft', '133 views']",27888.0,"[['2018-08-10 00:00:00', 66323, 'Posting removed']]",35.0,"['$66,323']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '792 Square Feet', 'Lot Size: 4,999 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/11212-s-homewood-ave-chicago-il-60643--2104490883,133.0,1910.0,60643.0,58105,74133.0,49952,5304,"['0.4 km', '22.0 km', '0.1 km', '1.1 km', '0.1 km']",['23.7 km'],"['5 mins', '35 mins', '1 min', '4 mins', '1 min']",['50 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Rock Island', 'Blue Line']",[41.6892818],[-87.6700821]
5,5305,12215 S Throop St,895.0,1.0,2.0,"Chicago, IL 60643","['08/18/2018', '11/12/1997']",7.0,"['Posting removed', 'Sold']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '895 Square Feet', 'Lot Size: 5250 sqft']",08/18/2018,5250.0,sqft,&lpar;West Pullman&rpar;,"['Single-Family Home', '2 Beds', '1 Bath', 'Built in 1958', '267 days on Trulia', '5250 sqft lot size', '895 sqft', '$41/sqft', '57 views']",37090.0,"[['1997-11-12 00:00:00', 21666, 'Sold'], ['2018-08-18 00:00:00', 83448, 'Posting removed']]",41.0,"['$83,448', '$21,666']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '895 Square Feet', 'Lot Size: 5,250 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/12215-s-throop-st-chicago-il-60643--2104496234,57.0,1958.0,60643.0,58105,74133.0,49952,5305,"['0.4 km', '4.3 km', '23.0 km', '0.4 km']",['28.1 km'],"['5 mins', '10 mins', '27 mins', '6 mins']",['51 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'HEAVY_RAIL']","['Metra Electric', 'Metra Electric']",[41.6716685],[-87.6538384]
6,5306,11558 S Loomis St,1532.0,1.0,3.0,"Chicago, IL 60643","['06/13/2018', '05/29/2018', '08/23/2017', '08/22/2017', '09/22/2000']",0.0,"['Pending', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Sold']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,532 Square Feet', 'Lot Size: 4560 sqft']",10/06/2018,4560.0,sqft,&lpar;West Pullman&rpar;,"['Single-Family Home', '3 Beds', '1 Bath', 'Built in 1961', '130 days on Trulia', '4560 sqft lot size', '1,532 sqft', '$35/sqft', '104 views']",53000.0,"[['2000-09-22 00:00:00', 120000, 'Sold'], ['2017-08-22 00:00:00', 51900, 'Listed for sale'], ['2017-08-23 00:00:00', 51900, 'Posting removed'], ['2018-05-29 00:00:00', 53000, 'Listed for sale'], ['2018-06-13 00:00:00', 53000, 'Pending']]",35.0,"['$53,000', '$53,000', '$51,900', '$51,900', '$120,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,532 Square Feet', 'Lot Size: 4,562 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/11558-s-loomis-st-chicago-il-60643--2104493416,104.0,1961.0,60643.0,58105,74133.0,49952,5306,"['1.4 km', '22.9 km', '0.1 km', '1.1 km', '0.1 km']",['25.6 km'],"['18 mins', '37 mins', '1 min', '4 mins', '1 min']",['1 hour 5 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Rock Island', 'Blue Line']",[41.6831959],[-87.65674489999999]
7,5307,10915 S Hale Ave,1346.0,2.0,3.0,"Chicago, IL 60643","['03/27/2018', '03/24/2018', '03/20/2018', '02/18/2018', '02/03/2018', '12/27/2017', '11/29/2017', '10/09/2017', '10/31/2012', '08/17/2012', '06/07/2012', '06/22/2011', '03/11/2011', '07/05/2005', '07/11/2001', '12/18/2000']",1.0,"['Pending', 'Pending to active status', 'Pending', 'Price change', 'Posting removed', 'Price change', 'Listed for sale', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Sold', 'Sold', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,346 Square Feet']",09/28/2018,,,&lpar;Morgan Park&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1893', '311 days on Trulia', '1,346 sqft', '$33/sqft', '542 views']",45000.0,"[['2000-12-18 00:00:00', 60000, 'Sold'], ['2001-07-11 00:00:00', 119000, 'Sold'], ['2005-07-05 00:00:00', 165000, 'Sold'], ['2011-03-11 00:00:00', 129500, 'Listed for sale'], ['2011-06-22 00:00:00', 129500, 'Posting removed'], ['2012-06-07 00:00:00', 112500, 'Listed for sale'], ['2012-08-17 00:00:00', 99999, 'Price change'], ['2012-10-31 00:00:00', 99999, 'Posting removed'], ['2017-10-09 00:00:00', 140000, 'Listed for sale'], ['2017-11-29 00:00:00', 140000, 'Listed for sale'], ['2017-12-27 00:00:00', 135000, 'Price change'], ['2018-02-03 00:00:00', 135000, 'Posting removed'], ['2018-02-18 00:00:00', 45000, 'Price change'], ['2018-03-20 00:00:00', 45000, 'Pending'], ['2018-03-24 00:00:00', 45000, 'Pending to active status'], ['2018-03-27 00:00:00', 45000, 'Pending']]",33.0,"['$45,000', '$45,000', '$45,000', '$45,000', '$135,000', '$135,000', '$140,000', '$140,000', '$99,999', '$99,999', '$112,500', '$129,500', '$129,500', '$165,000', '$119,000', '$60,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,346 Square Feet', 'Lot Size: 5,900 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/10915-s-hale-ave-chicago-il-60643--2104489448,542.0,1893.0,60643.0,58105,74133.0,49952,5307,"['0.2 km', '22.0 km', '0.1 km', '1.1 km', '0.1 km']",['23.5 km'],"['3 mins', '35 mins', '1 min', '4 mins', '1 min']",['48 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Rock Island', 'Blue Line']",[41.6950893],[-87.66991829999999]
8,5308,10350 S Sangamon St,1210.0,1.0,3.0,"Chicago, IL 60643","['09/14/2018', '08/30/2018', '08/10/2018', '07/24/2018', '07/06/2018', '06/23/2018', '06/22/2018', '06/08/2018', '05/22/2018']",7.0,"['Pending', 'Price change', 'Pending', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,210 Square Feet', 'Lot Size: 3628 sqft']",09/13/2018,3628.0,sqft,&lpar;Washington Heights&rpar;,"['Single-Family Home', '3 Beds', '1 Bath', 'Built in 1921', '137 days on Trulia', '3628 sqft lot size', '1,210 sqft', '$25/sqft', '53 views']",29900.0,"[['2018-05-22 00:00:00', 52800, 'Listed for sale'], ['2018-06-08 00:00:00', 45900, 'Price change'], ['2018-06-22 00:00:00', 40300, 'Price change'], ['2018-06-23 00:00:00', 40300, 'Price change'], ['2018-07-06 00:00:00', 37000, 'Price change'], ['2018-07-24 00:00:00', 33000, 'Price change'], ['2018-08-10 00:00:00', 33000, 'Pending'], ['2018-08-30 00:00:00', 29900, 'Price change'], ['2018-09-14 00:00:00', 29900, 'Pending']]",25.0,"['$29,900', '$29,900', '$33,000', '$33,000', '$37,000', '$40,300', '$40,300', '$45,900', '$52,800']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '938 Square Feet', 'Lot Size: 3,630 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/10350-s-sangamon-st-chicago-il-60643--2104486084,53.0,1921.0,60643.0,58105,74133.0,49952,5308,"['0.5 km', '3.1 km', '0.1 km', '18.4 km', '0.2 km']",['22.3 km'],"['7 mins', '9 mins', '2 mins', '27 mins', '3 mins']",['52 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Halsted', 'Red Line']",[41.7053957],[-87.6464766]
9,5309,10524 S May St,952.0,1.0,3.0,"Chicago, IL 60643","['09/19/2018', '09/11/2018', '08/09/2018', '07/27/2018', '07/07/2018', '06/19/2018', '06/14/2018', '06/07/2018', '05/21/2018', '01/26/1999']",8.0,"['Pending to active status', 'Price change', 'Pending', 'Price change', 'Price change', 'Pending to active status', 'Pending', 'Price change', 'Listed for sale', 'Sold']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '952 Square Feet', 'Lot Size: 9252 sqft']",09/18/2018,9252.0,sqft,&lpar;Washington Heights&rpar;,"['Single-Family Home', '3 Beds', '1 Bath', 'Built in 1920', '138 days on Trulia', '9252 sqft lot size', '952 sqft', '$28/sqft', '71 views']",26500.0,"[['1999-01-26 00:00:00', 55000, 'Sold'], ['2018-05-21 00:00:00', 35200, 'Listed for sale'], ['2018-06-07 00:00:00', 31800, 'Price change'], ['2018-06-14 00:00:00', 31800, 'Pending'], ['2018-06-19 00:00:00', 31800, 'Pending to active status'], ['2018-07-07 00:00:00', 29100, 'Price change'], ['2018-07-27 00:00:00', 28500, 'Price change'], ['2018-08-09 00:00:00', 28500, 'Pending'], ['2018-09-11 00:00:00', 26500, 'Price change'], ['2018-09-19 00:00:00', 26500, 'Pending to active status']]",28.0,"['$26,500', '$26,500', '$28,500', '$28,500', '$29,100', '$31,800', '$31,800', '$31,800', '$35,200', '$55,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '952 Square Feet', 'Lot Size: 9,250 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/10524-s-may-st-chicago-il-60643--2104487248,71.0,1920.0,60643.0,58105,74133.0,49952,5309,"['0.9 km', '6.0 km', '25.2 km', '0.1 km', '1.1 km', '0.1 km']",['33.4 km'],"['11 mins', '7 mins', '26 mins', '1 min', '4 mins', '1 min']",['59 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'HEAVY_RAIL', 'SUBWAY']","['Rock Island', 'Rock Island', 'Blue Line']",[41.70235599999999],[-87.650849]
