,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,6100,4641 N Campbell Ave #3,1600.0,2.0,3.0,"Chicago, IL 60625",,0.0,,"['3 Bedrooms', '2 Bathrooms', 'Condo', '1,600 Square Feet']",09/25/2018,,,&lpar;Lincoln Square&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 1914', '10 days on Trulia', '1,600 sqft', '$241/sqft', '60 views', '$371/monthly HOA']",385000.0,,241.0,,,,https://www.trulia.com/p/il/chicago/4641-n-campbell-ave-3-chicago-il-60625--2198024430,60.0,1914.0,60625.0,52037,65687.0,78651,6100,"['0.3 km', '6.1 km', '7.4 km', '0.2 km']",['14.1 km'],"['3 mins', '13 mins', '15 mins', '3 mins']",['37 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['SUBWAY', 'SUBWAY']","['Brown Line', 'Red Line']",[41.9659632],[-87.6912085]
1,6101,5211 N Christiana Ave,2000.0,3.0,5.0,"Chicago, IL 60625","['09/18/2018', '10/12/2017', '10/04/2017', '02/04/1999']",7.0,"['Listed for sale', 'Posting removed', 'Listed for sale', 'Sold']","['5 Bedrooms', '3 Bathrooms', 'Single-Family Home', '2,000 Square Feet', 'Lot Size: 2205 sqft']",09/28/2018,2205.0,sqft,&lpar;North Park&rpar;,"['Single-Family Home', '5 Beds', '3 Baths', 'Built in 2017', '17 days on Trulia', '2205 sqft lot size', '2,000 sqft', '$219/sqft', '263 views']",438900.0,"[['1999-02-04 00:00:00', 116500, 'Sold'], ['2017-10-04 00:00:00', 335000, 'Listed for sale'], ['2017-10-12 00:00:00', 335000, 'Posting removed'], ['2018-09-18 00:00:00', 438900, 'Listed for sale']]",219.0,"['$438,900', '$335,000', '$335,000', '$116,500']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,642 Square Feet', 'Lot Size: 2,205 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5211-n-christiana-ave-chicago-il-60625--2104213606,263.0,2017.0,60625.0,52037,65687.0,78651,6101,"['1.0 km', '7.9 km', '7.4 km', '0.2 km']",['16.5 km'],"['12 mins', '17 mins', '15 mins', '3 mins']",['50 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['SUBWAY', 'SUBWAY']","['Brown Line', 'Red Line']",[41.9760825],[-87.71229459999999]
2,6102,4823 N Fairfield Ave #3,1150.0,2.0,2.0,"Chicago, IL 60625","['09/11/2018', '08/30/2018', '03/24/2017', '03/13/2017', '11/27/2016', '10/06/2016', '08/26/2016', '07/10/2012', '05/30/2012', '03/20/2012', '11/22/2011', '09/17/2011', '08/13/2010', '07/29/2010', '07/18/2010', '07/02/2010', '06/30/2010', '05/21/2010', '05/09/2006', '05/21/2003', '12/21/1999']",6.0,"['Price change', 'Listed for sale', 'Sold', 'Sold', 'Posting removed', 'Price change', 'Listed for sale', 'Sold', 'Posting removed', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Listed for sale', 'Sold', 'Sold', 'Sold']","['2 Bedrooms', '2 Bathrooms', 'Condo', '1,150 Square Feet']",09/11/2018,,,&lpar;Ravenswood&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 2017', '36 days on Trulia', '1,150 sqft', '$251/sqft', '203 views', '$240/monthly HOA']",289000.0,"[['1999-12-21 00:00:00', 146500, 'Sold'], ['2003-05-21 00:00:00', 220000, 'Sold'], ['2006-05-09 00:00:00', 262000, 'Sold'], ['2010-05-21 00:00:00', 269900, 'Listed for sale'], ['2010-06-30 00:00:00', 264900, 'Price change'], ['2010-07-02 00:00:00', 259900, 'Price change'], ['2010-07-18 00:00:00', 259900, 'Posting removed'], ['2010-07-29 00:00:00', 259900, 'Listed for sale'], ['2010-08-13 00:00:00', 259900, 'Posting removed'], ['2011-09-17 00:00:00', 234900, 'Listed for sale'], ['2011-11-22 00:00:00', 234900, 'Posting removed'], ['2012-03-20 00:00:00', 209900, 'Listed for sale'], ['2012-05-30 00:00:00', 209900, 'Posting removed'], ['2012-07-10 00:00:00', 214000, 'Sold'], ['2016-08-26 00:00:00', 265000, 'Listed for sale'], ['2016-10-06 00:00:00', 250000, 'Price change'], ['2016-11-27 00:00:00', 250000, 'Posting removed'], ['2017-03-13 00:00:00', 260000, 'Sold'], ['2017-03-24 00:00:00', 260000, 'Sold'], ['2018-08-30 00:00:00', 294500, 'Listed for sale'], ['2018-09-11 00:00:00', 289000, 'Price change']]",251.0,"['$289,000', '$294,500', '$260,000', '$260,000', '$250,000', '$250,000', '$265,000', '$214,000', '$209,900', '$209,900', '$234,900', '$234,900', '$259,900', '$259,900', '$259,900', '$259,900', '$264,900', '$269,900', '$262,000', '$220,000', '$146,500']","['Condo', 'Lot Size: 0.35 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/4823-n-fairfield-ave-3-chicago-il-60625--2123530699,203.0,2017.0,60625.0,52037,65687.0,78651,6102,"['0.7 km', '6.1 km', '7.4 km', '0.2 km']",['14.4 km'],"['8 mins', '13 mins', '15 mins', '3 mins']",['41 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['SUBWAY', 'SUBWAY']","['Brown Line', 'Red Line']",[41.9693232],[-87.6974413]
3,6103,2455 W Foster Ave #3,1700.0,2.0,3.0,"Chicago, IL 60625",,1.0,,"['3 Bedrooms', '2 Bathrooms', 'Condo', '1,700 Square Feet']",10/03/2018,,,&lpar;Ravenswood&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 2007', '31 days on Trulia', '1,700 sqft', '$235/sqft', '126 views', '$225/monthly HOA']",399000.0,,235.0,,,,https://www.trulia.com/p/il/chicago/2455-w-foster-ave-3-chicago-il-60625--2122286083,126.0,2007.0,60625.0,52037,65687.0,78651,6103,"['1.2 km', '5.6 km', '7.4 km', '0.2 km']",['14.5 km'],"['15 mins', '12 mins', '15 mins', '3 mins']",['48 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['SUBWAY', 'SUBWAY']","['Brown Line', 'Red Line']",[41.9758283],[-87.6913687]
4,6104,4700 N Monticello Ave #102,955.0,1.0,1.0,"Chicago, IL 60625",,7.0,,"['1 Bedroom', '1 Bathroom', 'Condo', '955 Square Feet']",10/05/2018,,,&lpar;Albany Park&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1922', '107 days on Trulia', '955 sqft', '$89/sqft', '548 views', '$280/monthly HOA']",85000.0,,89.0,,,,https://www.trulia.com/p/il/chicago/4700-n-monticello-ave-102-chicago-il-60625--2104207469,548.0,1922.0,60625.0,52037,65687.0,78651,6104,"['0.6 km', '7.9 km', '7.4 km', '0.2 km']",['16.1 km'],"['7 mins', '17 mins', '15 mins', '3 mins']",['45 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['SUBWAY', 'SUBWAY']","['Brown Line', 'Red Line']",[41.9666871],[-87.7194566]
5,6105,5002 N Western Ave #2S,1236.0,2.0,2.0,"Chicago, IL 60625",,8.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,236 Square Feet']",09/28/2018,,,&lpar;Ravenswood&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 2008', '18 days on Trulia', '1,236 sqft', '$324/sqft', '12 views', '$115/monthly HOA']",399900.0,,324.0,,,,https://www.trulia.com/p/il/chicago/5002-n-western-ave-2s-chicago-il-60625--2104212001,12.0,2008.0,60625.0,52037,65687.0,78651,6105,"['0.6 km', '5.6 km', '7.4 km', '0.2 km']",['14.0 km'],"['9 mins', '12 mins', '15 mins', '3 mins']",['41 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['SUBWAY', 'SUBWAY']","['Brown Line', 'Red Line']",[41.9724193],[-87.68912069999999]
6,6106,5003 N Lincoln Ave #1,2261.0,4.0,3.0,"Chicago, IL 60625",,5.0,,"['3 Bedrooms', '4 Bathrooms', 'Condo', '2,261 Square Feet']",10/05/2018,,,&lpar;Ravenswood&rpar;,"['Condo', '3 Beds', '4 Baths', 'Built in 2008', '25 days on Trulia', '2,261 sqft', '$248/sqft', '165 views', '$290/monthly HOA']",560000.0,,248.0,,,,https://www.trulia.com/p/il/chicago/5003-n-lincoln-ave-1-chicago-il-60625--2104212008,165.0,2008.0,60625.0,52037,65687.0,78651,6106,"['0.7 km', '5.6 km', '7.4 km', '0.2 km']",['14.0 km'],"['9 mins', '12 mins', '15 mins', '3 mins']",['41 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['SUBWAY', 'SUBWAY']","['Brown Line', 'Red Line']",[41.9719265],[-87.6902789]
7,6107,2751 W Lawrence Ave #3W,1850.0,2.0,3.0,"Chicago, IL 60625",,9.0,,"['3 Bedrooms', '2 Bathrooms', 'Condo', '1,850 Square Feet']",09/17/2018,,,&lpar;Ravenswood&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 2018', '19 days on Trulia', '1,850 sqft', '$313/sqft', '50 views', '$175/monthly HOA']",579000.0,,313.0,,,,https://www.trulia.com/p/il/chicago/2751-w-lawrence-ave-3w-chicago-il-60625--2359258987,50.0,2018.0,60625.0,52037,65687.0,78651,6107,"['0.6 km', '6.1 km', '7.4 km', '0.2 km']",['14.4 km'],"['8 mins', '13 mins', '15 mins', '3 mins']",['40 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['SUBWAY', 'SUBWAY']","['Brown Line', 'Red Line']",[41.9685141],[-87.69827049999999]
8,6108,5355 N Bernard St,1149.0,2.0,3.0,"Chicago, IL 60625","['09/12/2018', '08/20/2018', '10/08/1996']",7.0,"['Price change', 'Listed for sale', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,149 Square Feet', 'Lot Size: 4090 sqft']",09/12/2018,4090.0,sqft,&lpar;North Park&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1951', '47 days on Trulia', '4090 sqft lot size', '1,149 sqft', '$292/sqft', '279 views']",335000.0,"[['1996-10-08 00:00:00', 145500, 'Sold'], ['2018-08-20 00:00:00', 345000, 'Listed for sale'], ['2018-09-12 00:00:00', 335000, 'Price change']]",292.0,"['$335,000', '$345,000', '$145,500']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,149 Square Feet', 'Lot Size: 4,092 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5355-n-bernard-st-chicago-il-60625--2104214462,279.0,1951.0,60625.0,52037,65687.0,78651,6108,"['1.3 km', '7.9 km', '7.4 km', '0.2 km']",['16.8 km'],"['17 mins', '17 mins', '15 mins', '3 mins']",['54 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['SUBWAY', 'SUBWAY']","['Brown Line', 'Red Line']",[41.9791033],[-87.7147916]
9,6109,2443 W Wilson Ave,4600.0,4.0,5.0,"Chicago, IL 60625","['09/18/2017', '08/01/2017', '06/17/2016', '05/05/2016', '04/19/2016', '07/09/2008', '06/19/2008']",4.0,"['Posting removed', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale', 'Posting removed', 'Listed for sale']","['5 Bedrooms', '4 Bathrooms', 'Single-Family Home', '4,600 Square Feet', 'Lot Size: 3750 sqft']",10/02/2018,3750.0,sqft,&lpar;Ravenswood&rpar;,"['Single-Family Home', '5 Beds', '4 Baths', 'Built in 2011', '4 days on Trulia', '3750 sqft lot size', '4,600 sqft', '$304/sqft', '48 views']",1399000.0,"[['2008-06-19 00:00:00', 425000, 'Listed for sale'], ['2008-07-09 00:00:00', 425000, 'Posting removed'], ['2016-04-19 00:00:00', 1525000, 'Listed for sale'], ['2016-05-05 00:00:00', 1499000, 'Price change'], ['2016-06-17 00:00:00', 1499000, 'Posting removed'], ['2017-08-01 00:00:00', 1399000, 'Listed for sale'], ['2017-09-18 00:00:00', 1399000, 'Posting removed']]",304.0,"['$1,399,000', '$1,399,000', '$1,499,000', '$1,499,000', '$1,525,000', '$425,000', '$425,000']","['3 Bedrooms', '4.5 Bathrooms', 'Single-Family Home', '2,928 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/2443-w-wilson-ave-chicago-il-60625--1276286,48.0,2011.0,60625.0,52037,65687.0,78651,6109,"['0.3 km', '5.6 km', '7.4 km', '0.2 km']",['13.6 km'],"['4 mins', '12 mins', '15 mins', '3 mins']",['37 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['SUBWAY', 'SUBWAY']","['Brown Line', 'Red Line']",[41.9648054],[-87.6904917]
10,6110,2634 W Catalpa Ave #32,710.0,1.0,1.0,"Chicago, IL 60625",,,,"['1 Bedroom', '1 Bathroom', 'Condo', '710 Square Feet']",10/05/2018,,,&lpar;Budlong Woods&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1953', '1 day on Trulia', '710 sqft', '$175/sqft', '9 views', '$195/monthly HOA']",124500.0,,175.0,,,,https://www.trulia.com/p/il/chicago/2634-w-catalpa-ave-32-chicago-il-60625--2104199637,9.0,1953.0,60625.0,52037,65687.0,78651,6110,"['0.5 km', '1.8 km', '16 m', '5.6 km', '7.4 km', '0.2 km']",['15.7 km'],"['7 mins', '8 mins', '1 min', '12 mins', '15 mins', '3 mins']",['52 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY', 'SUBWAY']","['North Western', 'Brown Line', 'Red Line']",[41.9813453],[-87.6957589]
11,6111,5300 N Lincoln Ave #5D,1534.0,2.0,2.0,"Chicago, IL 60625",,8.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,534 Square Feet']",09/18/2018,,,&lpar;Budlong Woods&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 2008', '18 days on Trulia', '1,534 sqft', '$218/sqft', '63 views', '$317/monthly HOA']",335000.0,,218.0,,,,https://www.trulia.com/p/il/chicago/5300-n-lincoln-ave-5d-chicago-il-60625--2104213994,63.0,2008.0,60625.0,52037,65687.0,78651,6111,"['1.3 km', '5.6 km', '7.4 km', '0.2 km']",['14.7 km'],"['17 mins', '12 mins', '15 mins', '3 mins']",['49 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['SUBWAY', 'SUBWAY']","['Brown Line', 'Red Line']",[41.9779162],[-87.6926215]
