RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,seasAdj
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,5,7,11,9,5,8,4,9,6,7,7,5,3,3,6,5,13,6,4,3,9,6,0
84654,60657,Illinois,2,28,44,44,42,54,43,54,35,20,17,14,7,16,22,16,29,31,33,28,30,24,30,14,8,14,32,33,34,25,18,13,11,11,6,13,6,10,13,18,13,15,16,12,15,10,6,12,9,16,18,13,20,26,21,16,16,19,21,23,20,14,20,22,46,54,43,38,53,20,21,29,21,22,33,25,28,31,40,49,37,15,35,18,18,29,43,45,62,61,66,46,36,36,25,35,23,19,32,54,67,49,121,62,40,28,45,27,37,37,47,81,108,55,84,46,32,27,37,27,27,29,149,57,57,67,58,0
61637,10023,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7,9,4,7,7,7,8,6,8,4,7,9,9,5,5,6,4,11,8,5,10,,,,0
91982,77494,Texas,4,25,17,21,26,24,14,22,15,14,13,7,12,17,15,20,22,38,19,15,31,25,11,9,14,17,17,22,18,22,19,12,5,15,8,11,12,13,12,14,32,20,16,17,8,14,17,5,6,14,11,12,24,20,27,21,19,15,15,15,13,26,34,32,33,35,30,21,20,22,30,12,18,19,25,28,28,26,31,24,21,22,25,17,16,18,25,19,30,32,39,25,18,23,25,21,23,26,28,39,45,31,60,38,49,43,48,26,52,55,51,68,65,56,32,42,53,37,34,18,35,34,37,47,37,44,,0
93144,79936,Texas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,13,16,20,13,13,12,19,17,24,18,27,26,17,14,20,12,17,14,34,25,23,17,17,18,22,18,11,17,14,18,29,27,26,30,30,21,24,18,21,19,17,25,33,24,36,33,35,20,28,21,22,12,15,27,21,31,42,37,27,23,38,17,24,26,18,41,37,38,45,35,19,27,22,32,25,32,17,46,32,37,36,40,32,33,22,27,20,18,24,38,38,42,42,43,,0
91940,77449,Texas,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,29,30,12,22,21,23,26,29,49,44,66,64,54,40,36,48,35,22,51,48,66,83,78,39,85,72,63,88,47,43,82,89,77,107,115,96,70,80,66,74,70,49,84,96,91,74,89,104,58,67,70,66,47,38,79,57,103,86,88,88,92,84,58,73,40,54,58,58,79,89,86,87,0
91733,77084,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,36,30,44,56,58,52,82,61,58,55,51,52,39,34,56,51,50,57,61,55,42,52,52,50,36,47,63,45,68,72,60,46,43,48,39,40,27,32,47,45,67,63,64,72,0
61616,10002,New York,8,6,8,4,6,6,7,10,6,7,5,2,2,2,2,4,3,11,5,3,8,20,7,7,7,11,5,3,10,11,1,9,2,9,7,7,5,6,7,6,10,6,12,5,4,3,10,4,7,7,8,5,8,13,12,11,8,10,7,9,9,14,12,5,6,8,11,11,5,6,8,7,2,6,6,4,7,5,9,6,17,1,4,4,5,4,7,6,5,6,8,3,2,5,2,1,1,4,2,0,2,1,1,3,3,1,2,1,2,5,4,1,2,2,5,2,0,1,1,3,1,1,,,,,,0
84640,60640,Illinois,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,71,55,47,47,34,58,91,13,28,53,44,53,117,39,0
97564,94109,California,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,8,15,12,10,6,15,10,7,7,9,10,6,10,14,14,,0
