RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,seasAdj
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,38,37,43,46,38,45,24,40,55,68,49,46,40,38,30,44,41,36,37,53,37,54,55,0
84654,60657,Illinois,2,92,108,94,137,153,106,93,87,48,48,31,29,45,48,60,81,122,94,66,73,54,72,52,42,59,82,127,169,111,84,83,49,46,66,43,31,60,58,87,129,94,116,74,44,47,59,44,40,45,60,98,107,86,105,86,68,59,48,85,49,53,112,141,175,205,187,125,149,109,107,70,55,77,157,168,180,118,114,187,139,92,84,67,54,95,162,157,189,189,172,154,102,74,103,62,52,102,130,166,178,173,174,129,98,103,110,70,55,114,124,151,226,156,139,104,94,83,83,62,87,101,120,146,145,161,131,0
61637,10023,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,57,45,59,57,66,57,59,44,49,50,59,81,64,56,51,49,51,45,53,51,49,61,61,77,0
91982,77494,Texas,4,14,37,41,42,57,38,22,33,22,13,14,16,22,28,40,57,63,52,47,27,33,33,14,16,38,29,38,63,46,48,47,23,26,26,27,15,36,29,51,79,62,57,47,31,30,37,29,23,46,37,59,85,83,97,55,70,53,46,44,29,70,86,105,116,123,135,62,51,48,71,43,50,77,71,106,92,130,138,99,93,72,75,63,46,94,92,103,152,145,122,68,67,37,102,42,51,79,72,110,169,143,163,131,110,115,162,82,104,126,122,160,179,118,90,121,103,86,79,86,65,86,125,123,115,120,,0
93144,79936,Texas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,9,9,7,6,10,7,14,11,11,7,14,11,13,10,14,8,9,4,19,14,10,12,6,19,7,13,10,8,13,11,16,12,15,13,14,16,10,7,12,5,8,9,16,17,16,11,16,20,6,25,4,7,8,15,17,30,20,17,18,12,11,19,8,8,14,23,20,18,17,22,17,16,17,14,12,12,17,20,17,34,20,24,13,23,13,13,14,13,11,16,21,14,15,,0
91940,77449,Texas,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,2,0,1,3,3,0,0,2,0,4,1,1,2,1,0,1,1,3,3,0,4,1,3,3,1,1,2,2,3,13,7,5,8,3,4,6,1,0,2,4,4,6,2,6,6,1,3,2,1,2,1,3,3,5,4,2,2,3,1,1,1,2,2,2,2,1,1,1,0
91733,77084,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,13,7,9,14,9,6,8,6,5,5,4,5,3,5,4,1,5,3,4,3,3,0,1,8,5,4,10,3,8,5,8,2,2,5,2,1,5,2,1,2,2,1,0
61616,10002,New York,8,8,7,10,13,10,10,9,15,7,8,5,4,1,6,1,4,8,6,10,8,20,16,10,7,15,14,7,15,8,10,28,9,17,12,13,11,11,18,9,12,11,20,13,10,7,9,8,10,9,15,16,15,11,10,14,6,16,13,12,20,20,22,17,10,16,29,28,26,12,15,18,14,15,10,18,12,13,20,24,19,21,17,11,23,13,14,12,31,14,10,14,11,16,15,10,10,14,16,11,22,21,11,19,18,22,14,15,10,13,14,15,18,10,16,18,15,12,24,13,15,16,7,7,15,17,13,0
84640,60640,Illinois,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,74,55,41,42,31,39,30,25,39,62,55,62,68,63,0
97564,94109,California,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7,15,16,9,5,10,23,12,3,15,7,17,7,10,11,9,,0
61630,10016,New York,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,40,54,41,76,38,50,38,41,45,51,50,59,79,81,65,45,59,53,50,49,49,54,47,49,58,43,58,50,54,52,76,56,62,51,78,76,76,75,48,53,70,51,37,61,37,48,52,65,63,41,53,51,38,50,54,46,42,57,65,42,54,47,41,37,57,38,33,30,31,36,39,66,59,0
74101,37013,Tennessee,12,2,2,5,3,4,4,2,5,3,1,0,6,2,0,2,3,6,3,1,2,6,3,3,5,7,1,2,5,2,4,1,3,2,1,1,2,1,0,2,2,1,5,1,2,1,4,2,1,2,3,3,3,2,1,3,1,2,4,3,2,4,2,3,4,2,2,6,1,1,2,2,1,1,7,4,5,4,7,2,4,2,4,5,3,5,17,6,2,6,6,7,5,3,4,4,1,4,3,8,12,11,9,9,5,10,7,4,1,6,10,5,11,4,5,4,7,5,5,4,6,,,,,,,0
92593,78660,Texas,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,8,7,6,1,5,1,2,3,3,2,3,2,5,2,4,6,2,3,2,3,1,5,4,8,11,3,1,5,4,3,3,4,3,7,7,8,11,5,4,6,3,4,6,5,4,4,4,6,13,6,10,8,2,3,2,1,3,4,3,5,5,6,,0
96107,90250,California,14,0,0,0,0,5,1,0,2,1,0,0,0,1,1,1,2,1,6,2,0,1,1,0,0,1,3,2,3,4,2,0,2,1,1,0,0,0,3,1,1,2,0,1,2,1,1,0,0,1,4,2,2,4,5,2,2,4,4,2,3,3,3,5,9,4,3,3,3,0,1,2,2,3,1,1,1,5,6,3,3,4,2,1,8,10,6,5,5,5,3,2,6,4,4,1,2,2,6,3,10,10,10,3,2,7,3,3,3,7,7,13,10,10,7,6,7,5,3,3,2,,,,,,,0
