RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
91940,77449,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104200,107100,105700,107e3,105200,106900,106400,109700,112e3,115500,115e3,113200,114e3,116600,121100,119100,119900,120500,122600,123400,122700,121100,122100,122e3,123800,123100,124300,126600,127400,129200,129600,130100,134e3,134400,136600,130300,132400,133200,139400,139e3,139600,138700,136100,137800,136900,139e3
74101,37013,Tennessee,2,105400,109400,111900,109600,101900,103500,106100,109e3,104500,101600,97600,93100,94e3,99900,105e3,101700,96800,93e3,94100,95800,96800,95100,87900,88300,89100,95800,97100,97400,88900,83500,79500,82100,81400,78400,76e3,75400,76e3,74600,76200,77100,79900,78300,77300,72800,73400,75200,78300,79300,76500,76500,78100,78800,76200,73500,70800,71700,68700,73600,77100,76600,78700,79e3,85600,84600,87500,85400,85900,82400,82900,82e3,88900,91600,95800,93800,96900,97900,98900,99500,103e3,103900,106400,107e3,111300,113800,115200,112100,11e4,110500,113700,115700,116600,119e3,120600,120500,117700,116700,116800,125800,128300,132400,128200,133700,133700,139e3,136800,142600,141700,142700,139600,141400,141100,143800,143800,146800,146100,146600,146200,151200,155500,159800,163700,167300,171700,169300,165600,165300
92593,78660,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131300,132400,133600,135300,136800,139300,140600,140300,141900,141900,143300,142200,142600,143600,146200,146700,148e3,149200,150700,151900,155400,160300,164500,166200,165800,166100,167100,167500,168900,170600,172300,174900,173400,174600,176100,180400,182400,183300,183600,186100,188800,189200,190100,191500,192700,191800,187200,189500,191600,196200,196700,197600,196700,198100,199900,205100,206900,205800,199900,199600,202900,209500,210200,211100,215e3,
96107,90250,California,4,408100,379200,344400,337400,362100,374400,366700,346300,336100,326e3,310300,301400,291700,298900,287600,285100,275800,283500,261300,254300,238800,265400,267300,268900,269800,276600,282700,272300,264800,275200,279400,284600,273400,262300,266700,270900,277600,272200,254600,246900,224900,231600,243900,250200,253800,246100,252200,239100,231400,232900,236600,226e3,220400,232300,258500,262100,246e3,234400,252500,276200,281800,279100,283300,290200,291500,294200,305600,315700,326600,304400,306600,296500,323800,326e3,337400,337600,331300,349600,340800,343200,322900,327400,324e3,327900,336300,352600,356800,352600,356500,360700,363800,37e4,364900,376100,369500,371900,375100,380400,376700,378100,377600,385800,394300,382500,371900,321700,342500,371100,415900,408900,404900,416200,438600,456200,463600,438900,426400,424700,425e3,429800,426300,451600,459300,472700,475400,479600
74242,37211,Tennessee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80200,85800,83900,88700,91600,93400,93900,89500,98e3,97800,103300,99700,101400,100600,105800,106400,108e3,108800,106500,113100,106e3,112500,111800,120200,118800,120800,125400,129200,126300,120100,124800,129900,134e3,132900,139700,142400,139100,134700,127400,133600,130900,145100,148e3,149400,141700,140600,152600,162300,155700
69816,28269,North Carolina,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89500,85800,88200,94800,99700,103700,103300,100900,1e5,100500,99900,96e3,96800,99300,104300,106300,112e3,115200,117e3,119300,116800,120300,122200,121600,119300,120200,125500,125e3,126800,
97771,94565,California,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270500,279700,287600,303400,297700,297e3,290700,289700,281500,289e3,29e4,295700,290200,301800,303400,309100,307e3,315900,314e3,318e3,320700,321e3,317400,321200,334400,339900,337800,327700,335600,347400,359500,354300,347600,336200,350700,355200,372900,366200,365e3,368400,386600,392600,386900,381600,389800,397e3,409700,404700,413200,412400,425700,42e4,421700,421400,438300,434100,
92551,78613,Texas,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17e4,171300,173600,172800,175600,175600,177300,180300,184200,188900,189600,188900,188500,188600,189500,190400,191300,194e3,196100,194700,194600,192700,196500,197600,201200,202900,202900,203900,207400,208300,203300,199100,199500,202100,204700,213500,216200,219600,219100
90654,75052,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112600,112200,104100,102700,106700,109700,111300,111100,111800,116800,117600,120800,114800,118500,119200,124300,122700,120800,123600,129e3,135200,134600,134700,142500,143800,141e3,132300,132900,131e3,132e3,133100,136400,137900,141600,150100,161500,164600,163300,156300,147700,
70829,30044,Georgia,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59e3,59700,59e3,58900,59800,60400,62500,63400,63700,63100,63500,64900,64900,65700,66100,68600,69300,70900,70600,71e3,72e3,74e3,75500,79200,78200,80100,75900,76500,76900,80300,85700,87e3,88200,88200,90100,91600,92e3,92100,92200,94100,95700,94400,93800,93500,99900,99e3,97200,92800,95300,97900,98900,97700,97800,99600,102400,106900,108900,107200,107800,109e3,113800,113300,116600,117700,120300,120200,121100,121300,120400,124200,125e3,13e4,128100,132200,130700,133600,132800,132e3,132700,136100,140800,,
70828,30043,Georgia,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92500,102800,103e3,105100,106300,106300,105500,104100,105100,106500,107800,111400,111300,108300,105700,106500,118900,121100,125700,117300,119700,118600,122500,124500,121200,12e4,116200,118600,119800,123600,130800,135e3,137300,138700,141300,,
84630,60629,Illinois,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69100,69700,69900,63700,65600,66200,60600,57900,56900,60100,59600,64600,66400,66e3,67800,64400,64800,59500,63700,64200,70200,71800,72300,71400,70400,76500,76600,75100,72900,79300,78500,79200,78500,83400,85100,83100,83300,83700,83600,87300,89900,89900,87300,90500,91200,91100,86200,94800,98500,95900,88300,86e3,95300,101e3,105700,100800,95500,91e3,97800,96100,93400,91600,100500,111300,105100,102600,99900,102700,111100,118500,117700,111100,109e3,115e3,117300,108200,103e3,105400
94748,85032,Arizona,13,159200,154800,148500,155700,148700,142600,135500,134e3,132900,128700,125e3,116600,105300,93400,85600,81900,81800,77800,76200,77900,80700,79800,76300,76e3,78100,76900,78e3,79100,79200,74100,70600,70500,71900,70900,68800,65200,64900,63100,65500,66300,66400,64600,62900,65800,68400,71700,71300,72700,73100,74e3,74400,77600,80100,81e3,80800,84700,87900,90200,88900,91300,90200,90400,93200,97100,103600,107400,111200,116900,118300,120200,115400,114500,116900,121500,119900,117800,115400,114800,118e3,116200,120100,110300,118100,116200,123400,118400,123400,122200,117400,117500,115900,119e3,118400,123300,129400,133400,136e3,137800,135400,139400,137e3,136100,134600,138400,137600,141600,137100,133500,133e3,136100,145400,146900,154800,156800,151700,157200,163400,164200,153600,149800,155800,164100,173100,175700,169900,163400
92341,78245,Texas,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94500,93700,100400,98800,101100,96200,97700,96900,97900,100400,101500,102200,97600,98700,1e5,106200,108500,109e3,109900,109900,109500,109400,111400,107400,111500,115e3,123800,120900,114500,111700,112700,118900,123200,127800,131300,130100,128200,127700,136500,
66843,21234,Maryland,15,,,,,,,,,,,,,,,,,,,,,158e3,158400,162300,156400,150800,151500,152600,154400,153600,150100,147600,139700,136100,135500,140500,133100,121700,116800,118400,127e3,115e3,121600,110400,115200,113400,112800,114300,103300,110300,116600,122e3,119900,119100,124100,117600,112200,105900,110400,112900,122700,126300,118400,111500,111e3,123500,119900,121800,114600,112100,112200,115400,122400,113800,112700,113400,117100,118600,117900,119100,12e4,120600,118900,117e3,110200,104400,108e3,119600,126900,123300,117e3,119600,120200,108400,107500,103500,117900,120500,115900,112200,111300,118300,122700,120800,121800,121600,123600,126500,118200,120700,119400,119100,121800,114100,123100,119200,123600,122500,121200,129200,126800,126900,125900,131e3,141700,150300,
