RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
84654,60657,Illinois,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196600,201900,195400,201400,205100,208300,19e4,169900,166800,182400,184400,182700,164e3,167100,17e4,177900,178700,186e3,187300,184100,177e3,184500,191800,195600,192700,191200,192200,190900,195400,196800,196200,198400,206200,210900,201600,196200,198700,215700,212400,207900,202900,203700,203100,198700,191200,190700,195100,206500,210500,211e3,214900,221e3,222900,225200,23e4,235100,236100,231e3,221800,217800,220300,225500,227e3,232600,232900,229700,226200,226500,229e3,227400,232500,231700,228900,229600,231300,243800,24e4,249500,248800,252700,248800,247100,247600,249300,248400,249900,242e3,24e4
91982,77494,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165600,165e3,164500,163100,168400,171500,174300,176200,176e3,174900,178e3,179100,18e4,178600,178500,179900,18e4,181700,185e3,186400,188400,181e3,182600,187300,193800,195900,190800,191e3,187400,190300,190900,195300,197e3,201100,204500,204200,198900,196700,199300,203500,207400,209500,211e3,211500,210500,212700,211700,216900,218700,224900,227600,232200,235100,232800,232100,230900,232100,231200,229e3,227600,231400,232500,234800,231800,232400,232300,231100,230900,228100,231600,233100,239700,237900,239500,237600,241e3,
93144,79936,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114400,114700,117500,120100,118700,118300,116400,119500,115500,115e3,112700,113700,113400,112900,113800,116800,116900,116100,113300,113500,114200,116e3,118800,117800,119100,117e3,116500,115800,115300,118800,112300,113400,112300,118e3,118100,117700,116600,117200,117e3,118100,116300,115300,114900,116e3,117500,117100,116200,115600,117600,116900,118e3,115500,117200,115200,115700,119500,116700,115300,111100,114700,115200,115300,115100,116500,118400,118900,12e4,120100,120300,122300,120900,122300,118300,120800,120400,123300,121200,121900,122200,125200,126200,124800,124e3,123e3,127600,130300,
91940,77449,Texas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155200,157200,156100,160800,162700,164400,164900,164900,163500,165600,166500,168100,168900,169800,170600,174200,174800,176500,179400,18e4,180600,176200,176700,178300,177500,178800,178500,182100,182900,182800,183600,184800,187700,186500,186100,187200,186900,186200,184100,189100,193300,193800,193300,192300,194100,192300
61630,10016,New York,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361700,379e3,378900,401300,384500,382700,375200,367100,37e4,339800,363400,352800,375500,379300,381200,375400,371100,372800,381200,372700,377400,369300,383300,384900,397100,390100,383400,375500,369200,379300,384500,396200,390800,389600,386900,401500,403700,406900,407400,423100,432500,420600,409200,415800,422600,439300,427100,421500,418700,428800,438700,439200,443700,447800,446200,444400,441200,446800,456100,464100,459300,455200,442200,462e3,456700,457300,449300,450600,456300,446100,471500,504200,506e3,481600
74101,37013,Tennessee,6,158700,156600,158800,156800,157500,158e3,155700,156100,153900,158800,159100,159e3,154900,155200,154300,152800,149200,152500,149600,148500,141700,142500,140900,146100,150900,152400,148700,145e3,141100,141e3,139700,143800,141600,137100,137900,141700,150700,145800,148300,142700,142100,138100,135500,136700,131900,133e3,134800,140500,140900,138700,135e3,137200,137600,141700,143700,145200,140600,141200,145200,146200,145e3,140700,141200,143200,144700,147500,144700,147300,146400,149200,149900,152900,153400,154200,156600,155100,155300,152300,155e3,153100,156200,154200,157500,158700,162400,164100,165500,167e3,168600,170700,172400,172500,173600,174900,177800,180500,181100,181300,182100,184400,187e3,188500,191e3,193600,197900,199e3,200200,201700,206e3,209100,211100,213500,216100,217e3,220600,225e3,224600,222400,222900,231500,239600,243600,244500,246100,245200,247e3
92593,78660,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186800,189100,189900,193700,197300,197700,199400,199700,205300,204200,204e3,210100,207200,208900,200200,205700,207e3,212500,213300,214e3,216500,223600,230500,230100,232900,232600,236100,234300,235800,240300,243600,246200,243400,242600,241100,246900,249100,252300,253100,253200,255900,252700,253200,254e3,254600,256400,259400,261600,263400,268e3,271500,272600,264900,260100,259700,265700,273200,274900,274900,275900,277800,282100,287100,289500,283600,
96107,90250,California,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371900,368200,381300,385200,394700,383900,411900,416900,455200,430600,433e3,412500,422e3,448200,452400,458200,456900,504100,517e3,511800,481800,504e3,500700,497e3,485300,507600,523500,525100,511400,527200,525700,537800,532e3,524900,534600,531400,546100,531800,525600,518e3,538100,536e3,544600,544300,542e3,564700,560100,584100,570200,577200,568100,578800,577e3,587500,585400,599800,609700,615e3,639e3,643700,643500,606200,633500,634800,648900,618200,622100,642300,658900,669900,681200,682400,680800,659e3,675200,682900
74242,37211,Tennessee,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179800,182700,182800,182400,180800,180700,18e4,183500,186200,19e4,193200,196100,197e3,197400,197500,199800,202e3,208900,213100,214600,212e3,206e3,207400,205900,214800,215100,225100,224800,228200,223700,224600,228300,234300,240400,240500,240300,240300,244300,247400,245500,246700,246300,247400,253600,256300,261900,257600,258700,256500
84620,60618,Illinois,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199e3,186900,184400,190200,194600,196500,189400,197e3,195800,196700,194200,196900,197900,203200,197e3,208200,212600,215700,215e3,210700,213e3,215300,220700,227900,226900,223100,225900,220400,222600,219200,232100,228500,235500,227100,224900,211900,222e3,233700,243100,233900,229300,232600,235600,241300,242500,246300,238800,232e3,227500,226400,220400,208400,217800,229400,243600,222400,230200,244e3,257200,249600,246600,246800
