RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
84654,60657,Illinois,1,436e3,455e3,45e4,449900,460100,476e3,468200,455200,452900,458200,441400,418100,397400,423700,434500,459700,443300,453800,438900,427600,407500,424400,424100,429e3,395900,408600,403800,416200,412500,415900,450100,466400,467700,451500,426200,421300,400500,408200,419200,418e3,420900,432200,441200,443300,405e3,427800,421500,441400,409200,404600,402300,399200,394200,398400,429800,427500,428800,423200,419800,438100,419500,420300,402300,404800,432200,440600,440700,433400,423600,432200,438e3,447e3,444600,437400,432e3,434800,465600,465900,479100,455200,477500,470500,467200,447600,444600,447800,442200,447400,449300,460600,455e3,450900,451600,457400,451800,429500,441e3,459200,488300,477600,474900,472600,480500,477900,484900,480800,495400,457e3,458500,452900,494100,501200,495600,485e3,474300,490200,484400,502900,485300,478600,463800,478800,496400,513400,514800,526800
91982,77494,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280600,296400,299200,296800,283700,280300,27e4,273400,278600,281e3,291700,292700,308900,303700,297900,279500,282100,288500,300600,300800,298600,280200,269e3,270300,294e3,305200,305e3,294400,296800,303900,303300,300800,301600,304900,309e3,304100,313400,314800,314400,304600,307100,308900,316200,318e3,317500,318100,316600,323900,326e3,338100,340500,345400,341400,344300,354600,365300,366500,356800,351400,348200,350200,354e3,362600,365600,365200,365800,367400,371300,374500,375900,376600,374700,379400,377200,378e3,377600,371200,368900,371300,373800,380600,373500,378300,377e3,394100,390200,389400,369900,
93144,79936,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194200,182600,184900,178500,184600,181900,180900,177900,183700,21e4,209400,204500,187500,195e3,195100,193900,183e3,180200,187500,191e3,190800,185900,186500,190300,194700,199700,196200,21e4,208500,211500,190200,181900,190800,199800,203200,194300,185800,190300,197300,197400,
61630,10016,New York,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956900,861600,895200,869600,889100,863500,874200,823500,820700,759200,783500,864600,920100,921800,903600,937200,1014300,961200,952300,888800,928900,894100,918800,867300,899300,905600,938600,908800,883200,979100,1006900,1043700,1019600,1134300,1117900,1130100,1063e3,1068e3,1110500,1135700,1169100,1085600,1100600,1130900,1195e3,1158e3,1090600,1043600,1095900,1116800,1112200,1055900,963500,1044400,1005800,1025300,96e4,1035400,1093e3,1093700,1008e3,1011e3,1046100,1073600,1028500,983200,985700,1023100,1062e3,1078700,1161700,1155100,1107600,1056700
74242,37211,Tennessee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290500,278700,286400,287500,289400,283900,309700,312700,321600,305900,308600,311800,311500,313800,312600,317200,319e3,321500,314100,320500,329400,333200,327e3,325800,323e3,329400,331500,343100,350100,354300,363500,361100,359200,354400,368400,369500,368700,365100,371400,373400,378500,367500,377100,382500,392100,390400,376600,386600,379100
84620,60618,Illinois,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408400,407800,390500,380600,389800,404700,414800,399200,399600,405900,421200,416600,421500,453500,462400,469100,435800,472700,466600,482e3,437900,445800,442600,454800,450400,456300,456300,458500,489600,489900,482800,447600,490100,498500,514200,47e4,468800,457100,474100,477800,483e3,470800,473800,475e3,492900,482300,477400,468700,475200,481e3,455500,453e3,471500,485200,504200,499500,507e3,489700,484300,473800,478800,457300
92036,77573,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264900,280200,267700,262800,250300,252500,251200,254300,250800,251800,247800,268100,270400,269700,252400,251700,258500,26e4,262900,259300,267e3,267300,271900,276800,277400,278900,271500,272900,270600,27e4,269700,271900,271600,279900,280100,281600,277900,276500,284400,285500,287900,284100,284600,298200,299600,300900,300200,305100,305200,301800,299600,303700,306100,307900,310400,309800,312e3,313500,309100,307600,325e3,33e4,331500,314400,314100,314700,323200,336700,344200,345700,327300,322400,313800,329300,331e3,334500,337e3,338e3,341900,
92045,77584,Texas,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266100,264200,266300,255100,255700,251600,263500,267e3,269600,269700,269700,272600,278300,277700,277300,273900,277400,282200,281900,284e3,274400,273500,269100,285500,29e4,306500,300800,300700,291600,296700,297800,296400,295e3,301800,306100,309e3,300400,305100,305500,316400,315300,314700,315800,315100,323100,319500,325e3,318400,317600,316700,321e3,311900,307800,301700,317800,315400,310300,306800,309700,318100,318e3,326100,330500,
69816,28269,North Carolina,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279900,278200,281800,273500,292900,298100,298500,287800,293400,296800,299500,296400,301300,297300,300500,296500,301800,303700,299600,294200,291500,305300,310900,317700,321e3,322900,330200,338700,352200,
66126,20002,District of Columbia,10,624500,655200,643600,653e3,613800,605800,58e4,561600,545500,539200,601e3,644100,653100,592800,563500,594e3,598900,59e4,522100,526300,525300,542400,544200,587700,594100,579800,544200,542600,536300,562200,577900,597700,557500,553700,593900,601900,588800,538700,539100,549300,547700,542900,503600,506900,507e3,552700,534300,573600,566500,602900,590200,612400,616500,597700,549700,563e3,594700,632500,628700,637e3,640700,627e3,613800,620300,621800,621e3,611700,614100,616100,629300,649e3,641200,626100,602200,610500,607800,620400,626800,639100,635900,633200,619200,627100,630200,631e3,638300,644500,669700,679200,676200,646700,637300,653900,686800,672600,665800,667e3,689800,686800,679300,678200,688900,689200,699800,692300,696900,684800,697500,711200,727800,738500,730600,717100,703900,698200,724100,709900,719900,709700,723200,736100,743400,756700,764e3,758100,
