"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"10025","New York","NY","New York, NY","New York",1,750000,740000,785000,725000,732500,749000,740000,747000,750000,760000,749000,740000,795000,739500,785000,779000,749000,775000,749000,710500,750000,797000,825000,799500,799000,854000,849000,850000,875000,875000,850000,875000,880000,875000,875000,799000,799000,875000,819500,837500,875000,899000,949000,975000,895000,887000,925000,965000,980000,982500,975000,949000,949500,899000,975000,934450,995000,1050000,1150000,1150000,1150000,1150000,1150000,1195000,1250000,1295000,1300000,1350000,1350000,1334999.5,1300000,1425000,1450000,1495000,1487500,1524500,1500000,1544000,1592500,1500000,1470000,1399000,1450000,1395000,1395000,1395000,1395000,1489500,1450000,1395000,1300000,1300000,1276000,1395000,1425000,1485000,1475000,1269000,1195000,1249750,1250000,1342310,1345000,1350000
"60657","Chicago","IL","Chicago, IL","Cook",2,360400,349900,339000,349000,339500,347450,346900,339950,339000,337950,339700,331050,338000,339000,338000,338000,338000,335000,329900,329000,329000,325000,325000,325000,335000,339000,349450,339900,329900,320000,325000,329500,335000,336000,338000,339900,329900,334500,349900,349000,349000,349450,359900,369000,369700,369000,355000,349900,359900,360500,375000,365000,349000,344950,339450,359000,374950,369450,360000,364750,359900,361950,359945,360000,349999.5,350000,349900,344450,349900,349900,349900,349900,349900,389500,387000,369500,371750,370000,370000,379900,389000,392000,399900,399000,429500,446950,440000,439000,429900,440000,435000,439000,449900,450000,449950,474950,449000,449000,445000,425000,420000,415000,415000,419500
"60614","Chicago","IL","Chicago, IL","Cook",3,390000,399900,389900,389900,389900,395000,389900,399000,376950,387000,379900,379000,379900,375000,376000,385000,379900,379000,379000,389000,399000,399000,379000,375000,366000,379000,375000,404000,382450,399000,399999,399900,399950,389900,399720,399640,423150,409000,399999,409900,409500,415000,4e+05,392500,433500,425000,424950,445000,450000,447000,425000,425000,410999.5,414900,424900,424950,428500,439000,425000,449000,465000,450000,449950,449000,444900,444900,430900,435000,449000,450000,450000,464450,475000,475000,440000,445000,447500,464750,499000,519000,525000,550000,559450,549000,559000,553500,539000,539000,519900,5e+05,506000,522450,549000,547000,599000,624900,639900,615000,585000,565000,569000,550000,549900,549000
"10002","New York","NY","New York, NY","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000,1250000,1250000,1175000,1237500,1197500,1332500,1350000,1425000,1422500,1520000,1551000,1573000,1600000,1575000,1574000,1575000,1580000,1605000,1610000,1671000,1630000,1630000,1575000,1580000,1590000,1580000,1567000,1538000,1538000
"00926","San Juan","TX","Brownsville, TX","Cameron",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,150000,149950,150000,149900,149000,145000,147350,149900,150000,139900,137500,139900,135000,140000,136000,139900,148000,139900,148000,146500,136000,132500,130000,138990,130000,130000,130000,125500,138500,146500,145000,140000,135000,129750,127250,125000,134000,126500,105000,105000,105000,105000,108000,111500,115000,116500,118000,114000,116500,99900,97900
"60640","Chicago","IL","Chicago, IL","Cook",6,254500,254700,249900,249800,249000,249800,249000,245000,239500,235000,229000,224900,223500,224900,229900,229900,229900,225000,224500,220000,219450,214900,215000,214000,203500,199900,209900,215000,210000,2e+05,2e+05,195500,188500,189000,189900,181000,189900,199000,219450,221500,224900,225000,225000,225000,219450,220000,221000,210000,209950,219950,235000,239900,235500,238444,239000,235000,235000,229250,229000,224900,219900,230350,235000,230000,229900,229000,229900,225000,219450,219900,214500,209900,219950,225000,239825,241000,240000,245000,249500,249900,249900,249900,240000,225000,221250,223500,235000,239950,239900,249900,240000,231000,229900,235000,239900,235000,249250,249500,259900,259900,253250,255900,259900,264000
"94109","San Francisco","CA","San Francisco, CA","San Francisco",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996500,998500,1090000,1075000,1198000,1145000,1088000,1019000,1195000,1195000,998000,992500,995000,995000,995000,1024000,1072500,998000,1096500,1150000,1160000,1099500,1099950,1150000,1020000,1089000,1098000,1074000,1198500,1198500,1161500,1049000,1095000,1049000,989000,988000,1112500,1112250,1074000,1150000,1035250,1045000
"11375","New York","NY","New York, NY","Queens",8,279000,275000,260000,259000,259000,255000,255000,249999.5,255000,249999.5,255000,249999,249999.5,249000,255000,249000,255000,249000,249000,251950,255000,250000,239000,239000,239000,239999,239999,249000,249000,249000,249000,249000,249000,249900,256000,254000,249000,249777,250000,250000,255450,259000,259000,259950,262000,259000,259000,249999,249000,259000,259000,259944,263800,269000,268000,275000,278444,279000,279000,282500,3e+05,319000,325000,309000,308500,319000,318888,319000,325000,324994,344444,321950,325000,338000,340000,342500,349999.5,350000,350000,359000,359000,362000,375000,379000,382500,376944,369000,375000,378888,399000,399000,399000,395000,399000,415000,408000,4e+05,399000,390000,398888,425000,447000,445000,439000
"10016","New York","NY","New York, NY","New York",9,795000,767000,750000,749500,699000,729000,737000,775000,699500,7e+05,699000,699000,699000,649000,749000,727000,734000,754900,744500,724500,699000,750000,710000,699500,699000,765000,799499.5,850000,839000,825000,814500,777000,762000,749500,755000,740776,728000,769500,865000,850000,925000,920000,899000,899000,921000,897000,999000,991500,995000,950000,935000,989000,995000,960000,1090000,1085000,1185000,1250000,1250000,1271000,1298000,1295000,1296500,1300000,1325000,1339000,1300000,1397000,1450000,1525000,1550000,1599000,1498500,1453250,1475000,1475000,1497000,1547000,1499500,1547500,1525000,1499000,1450000,1500000,1524500,1495000,1488000,1465000,1425000,1450000,1375000,1402500,1405000,1450000,1450000,1425000,1447500,1275000,1299000,1380000,1449500,1420000,1422500,1425000
"11235","New York","NY","New York, NY","Kings",10,365442.5,362825,359000,384000,379000,377660,389000,389000,399000,396570,389000,386975,369000,357000,369000,349000,365000,355000,369999,385000,359000,379000,379000,385000,339900,375000,368450,349000,299999,325000,335000,349000,327000,324000,341775,325000,349000,290000,285000,292500,298999,299000,299000,299000,332500,369000,388000,399000,399000,399000,397250,402000,399000,411000,429000,415000,439000,449000,429000,424000,429000,437000,479000,489500,495000,555000,579000,563750,555000,549000,549000,549500,575000,588000,585000,598000,589500,549000,575000,604500,630000,622500,619900,619000,603000,616950,603000,610000,622000,610000,609000,609000,588000,582500,554000,547000,572500,539500,529500,584000,552500,549000,540000,512500
