"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"10025","New York","NY","New York, NY","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1422184373004,5,4.9886220895305,5,5.15199613919275,4.9884732636522,4.98386974988202,4.98053601655069,5,5.16842242298505,5.04644694341428,5.20771513353116,5.15625,5.09151329243354,5.05836371516712,5,5,5,5.01658374792703,5.10118694362018,5.14096185737977,5.08114754098361,5.00829187396352,5.08114754098361,4.9279357573284,4.99258160237389,5.06229508196721,5,4.98307692307692,4.9209963013108,4.9279357573284,5.06267409470752,5.11130009779274,5,5,5.05836371516712,5.1,5.12658227848101,5,5,4.98053601655069,4.97506997841055,4.95672258891802,4.97799511002445,5,5.08259212198221,5.14740400561296,5.05836371516712,5,5.1980198019802
"60657","Chicago","IL","Chicago, IL","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,1.76428571428571,1.6463601532567,1.65625,1.67261904761905,1.70512820512821,1.71428571428571,1.79310344827586,1.85,1.86770833333333,1.85857142857143,1.89285714285714,1.8828431372549,1.85714285714286,1.80714285714286,1.83854166666667,1.76071428571429,1.71052631578947,1.825,1.86875,1.9375,1.91666666666667,1.93501042752868,1.96651785714286,1.99375,1.86391666666667,1.85714285714286,1.84285714285714,1.85,1.9106518658479,1.96153846153846,1.99375,1.99375,2,2.03125,2,2,1.94375
"10023","New York","NY","New York, NY","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94050111005392,5,4.94047619047619,4.97326203208556,4.87587334958451,4.81283422459893,4.87730061349693,4.90421455938697,5.04484304932735,4.99375,4.93359580052493,4.85744456177402,5.01541623843782,5.12261146496815,5.12321049438884,4.91666666666667,4.95547073791349,5,4.86555013843746,4.91405242801891,5,4.98522895125554,4.85097636176773,4.77556440903054,4.51851851851852,4.85097636176773,4.77207977207977,4.74446085672083,4.77207977207977,4.75,4.75299401197605,4.79910714285714,4.77492291880781,4.846,4.89695841092489,4.9486301369863,4.83018867924528,4.76270997853732,4.83018867924528,4.80396288783713,4.83333333333333,4.77524366391918,4.82237923102202,4.85048818088386,4.8,4.9070594210259,5.11255857986449,5,4.8625,4.93942920388964
"60614","Chicago","IL","Chicago, IL","Cook",4,,,,,,,,,,,,,,,,,,,,,,1.96428571428571,1.92672373818441,1.96428571428571,1.96555555555556,1.97333333333333,2.0175,2.14285714285714,2.03292329639938,2.105,2.15920915712799,2.14,2.18431771894094,2.16369798234552,2.10718002081165,2.085,2.0952380952381,2.09413067552602,2.13820418897342,2.2,2.27136363636364,2.1771978021978,2.11749788672866,2.13863060016906,2.199,2.17054263565891,2.17164179104478,2.13571428571429,2.10481825866441,2.07865168539326,2.07504012841092,2.10526315789474,2.10526315789474,2.12880184331797,2.10198973042362,2.10504070827957,2.10526315789474,2.11757247277609,2.12132352941176,2.19556905083221,2.16361111111111,2,2.14285714285714,2.11232037193576,2.10413326726324,2.09258241758242,2.05267822736031,2.04386870355078,2.0809925093633,2.24,2.20358187134503,2.125,2.36057692307692,2.20714285714286,2.12132352941176,2.17164179104478,2.17792615868028,2.14615384615385,2.15281059063136,2.17111111111111,2.125,2.08080808080808,2.09597549204751,2.08823529411765,2.07142857142857,2.11538461538462,2.08514492753623,2.11111111111111,2.15228337236534,2.15,2.17164179104478,2.15456674473068,2.125,2.13571428571429,2.17164179104478,2.22034482758621,2.2,2.29166666666667,2.31875,2.29166666666667,2.30833333333333,2.30962885154062,2.31789473684211
"77084","Houston","TX","Houston, TX","Harris",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23969465648855,1.1969696969697,1.1969696969697,1.16386554621849,1.19779598510942,1.24172356070499,1.21340543615356,1.17919075144509,1.1969696969697,1.17919075144509,1.1621271076524,1.1827731092437,1.22566514225075,1.21660181582361,1.19195849546044,1.21428571428571,1.23669467787115,1.15697048049989,1.33608107298516,1.33608107298516,1.27885862516213,1.25925925925926,1.24929971988796,1.26587962962963,1.2210118098276,1.3301620749488,1.29131652661064,1.29497051738984,1.35868572457686,1.41176470588235
"94109","San Francisco","CA","San Francisco, CA","San Francisco",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20560747663551,4.42442449355433,3.88888888888889,4.20454545454545,4.88668555240793,4.70911949685535,4.53266787658802,4.17256846081209,4.10261914984972,4.18181818181818,4.58548109965636,4.66666666666667,4.66666666666667,4.49248120300752,4.94269340974212,4.39230769230769,4.65381443298969,4.42222222222222,4.89334277620397,5,4.98863636363636,5.03541076487252,5.01416430594901,5.03978779840849,4.88668555240793,4.99772727272727,5.03186968838527,5,4.75806451612903,4.71040268456376,4.95750708215297,4.82344821444474,4.95750708215297,4.99742153578158,4.9157911493155,4.95010024594755,4.95750708215297,4.76923076923077,4.91666666666667,4.79233606479457,4.95010024594755,4.91468948107503,4.95750708215297,4.76136363636364,4.95,4.94634670487106,4.8,4.9375,4.80769230769231,4.95750708215297,4.87163029525032,4.69600813356164,4.67289719626168,4.71631205673759,4.67289719626168,4.7172469374597,4.78723404255319,4.99166666666667,4.79296767062725,4.94269340974212,4.95750708215297,4.96551724137931
"75070","McKinney","TX","Dallas, TX","Collin",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24123422159888,1.25669642857143,1.26101928374656,1.25837053571429,1.21212121212121,1.25223214285714,1.30592105263158,1.31749460043197,1.34228187919463,1.31749460043197,1.32620385629813,1.23883928571429,1.22727272727273,1.27264767106324,1.33471074380165,1.317130556668,1.34531905965632,1.35526315789474,1.3515625,1.38892548675157,1.4263085399449,1.30383091149273,1.27733516483516,1.27608703256725,1.28205128205128,1.31107979682124,1.29764705882353,1.32685681837366,1.35812672176309,1.3707555465368,1.35729131746564,1.41255870681181,1.39041394969725,1.32205651709736,1.35584468984962,1.34755134281201,1.31912040761598,1.35327635327635,1.36128915079109,1.38472032742156,1.36129032258065,1.36571342178566,1.36704119850187,1.375,1.38421733505821,1.44806763285024,1.4373939305331,1.36073619631902,1.38506422305764,1.43723554301834,1.39807162534435,1.40645161290323,1.34838709677419,1.37741046831956,1.37741046831956
"77494","Katy","TX","Houston, TX","Fort Bend",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38928067700987,1.35809312638581,1.39285714285714,1.34750911300122,1.50513112884835,1.38999961994206,1.40909090909091,1.44793224832726,1.45786308421156,1.50988870373534,1.51047904191617,1.37957184535425,1.38083228247163,1.40102686295106,1.40138408304498,1.40559111525582,1.41155603655604,1.41131105398458,1.36269430051813,1.3992628992629,1.39109829608426,1.39037935315207,1.49349964121396,1.51134644478064,1.49633123689727,1.49895178197065,1.48846960167715,1.48090131009179,1.48516129032258,1.46814044213264,1.4666813955247,1.48409893992933,1.52015604681404,1.50670640834575
"77449","Katy","TX","Houston, TX","Harris",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20165745856354,1.30208913967195,1.31046511627907,1.36533665835411,1.36533665835411,1.36533665835411,1.34715779105236,1.36644809108182,1.36533665835411,1.35267857142857,1.35267857142857,1.35267857142857,1.36889460154242,1.38998035363458,1.38998035363458,1.39136904761905,1.39067470062681
"11375","New York","NY","New York, NY","Queens",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26666666666667,2.23974435196195,2.25,2.29520697167756,2.29411764705882,2.29411764705882,2.26259624094203,2.20294117647059,2.25996829171621,2.32142857142857,2.33333333333333,2.3125,2.33333333333333,2.33333333333333,2.33333333333333,2.3125,2.36931818181818,2.3499547920434,2.37881944444444,2.39444444444444,2.38888888888889,2.35625,2.36111111111111,2.39642857142857,2.35294117647059,2.4,2.375,2.40714285714286,2.35416666666667,2.375,2.4375,2.35294117647059,2.39583333333333,2.42105263157895,2.43633276740238,2.3972602739726,2.47058823529412,2.43303571428571,2.36068111455108,2.40442708333333,2.38997695852535,2.41741071428571,2.375,2.4375,2.44097222222222,2.42857142857143,2.46875,2.39958639412328,2.44285714285714,2.375,2.3499095840868,2.34375,2.41002155172414,2.40714285714286,2.44732142857143,2.42142857142857,2.42142857142857,2.42142857142857
