"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"60657","Chicago","IL","Chicago, IL","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.755,1.74282627484875,1.73205741626794,1.70227272727273,1.69848484848485,1.76923076923077,1.8,1.65,1.83125,1.83333333333333,1.86111111111111,1.85271317829457,1.82307692307692,1.6969696969697,1.6875,1.66086956521739,1.7,1.72666666666667,1.79625,1.84129803035195,1.85833333333333,1.90909090909091,1.96875,1.95,1.87096774193548,1.81868131868132,1.83333333333333,1.82926829268293,1.79,1.85,1.93333333333333,1.995,1.99302884615385,1.99,1.99375,1.99375,1.91011235955056,1.87321428571429,1.80978040540541,1.80238095238095,1.825,1.86,1.895,1.93452380952381,1.96984848484848,1.99666666666667,1.97337225760793,1.96212121212121,1.90919847328244
"10023","New York","NY","New York, NY","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02225519287834,5.1460970464135,5.06748188405797,5.04484304932735,4.8625,4.95110717065998,5.07246376811594,5.18867924528302,5.07462686567164,5.02225519287834,5.18181818181818,4.9652118912081,5.03966290397402,5.04484304932735,5.05050505050505,5.13692307692308,5.2
"60614","Chicago","IL","Chicago, IL","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33568413625786,2.17857142857143,2.35244360902256,2.13571428571429,2.14285714285714,2.125,2.12864460204886,2.19,2.17391304347826,2.08333333333333,2.10140186915888,1.99265151515152,2.0871327254306,2.06666666666667,2.125,2.1625,2.125,2.1171568627451,2.11764705882353,2.11875,2.10743801652893,2.13333333333333,2.08555555555556,2.11,2.125,2.15147058823529,2.125,2.17647058823529,2.19230769230769,2.17823529411765,2.1902380952381,2.17164179104478,2.125
"60640","Chicago","IL","Chicago, IL","Cook",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.70833333333333,1.7,1.725,1.70714285714286,1.67857142857143,1.67405143243853,1.68660714285714,1.68243243243243,1.7,1.62285714285714,1.71428571428571,1.74074074074074,1.75,1.74077733860343,1.73913043478261,1.71428571428571,1.72247474747475,1.70588235294118
"94109","San Francisco","CA","San Francisco, CA","San Francisco",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85714285714286,4.57291666666667,4.51879521750552,4.66666666666667,4.46969696969697,4.44074074074074,4.44444444444444,4.54136690647482,4.51911308792628,4.54136690647482,4.53991422246818,4.36257357750164,4.40375825292026,4.44388014220416,4.49494949494949,4.5644978862271,4.64852607709751,4.58823529411765,4.58548109965636,4.87191420477539,4.93288516640952,4.95750708215297,4.8365617433414,4.95750708215297,4.95750708215297,4.88668555240793,4.51798076923077,4.58651678657074,4.95750708215297,4.79955808080808,4.61538461538461,4.68185962251432,4.66666666666667,4.61538461538461,4.63166666666667,4.40375825292026,4.32480141218005,4.44388014220416,4.53333333333333,4.46969696969697,4.54136690647482,4.54136690647482,4.69835945399393,4.61658003718729,4.55497382198953,4.73401992951756,4.56136275813472,4.60317930489731,4.60224780701754,4.66666666666667,4.77951906899789,4.91098983502749,4.72657708100037,4.52402745995423,4.59770114942529,4.64285714285714,4.65034965034965,4.52941176470588,4.66666666666667,4.49747474747475
"11375","New York","NY","New York, NY","Queens",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22920218328725,2.25,2.23402777777778,2.27008456659619,2.27272727272727,2.3134328358209,2.3125,2.3,2.28472222222222,2.38936046511628,2.41621200311769,2.395,2.35355648535565,2.40755297334245,2.36779411764706,2.36431818181818,2.42857142857143,2.43561164333088,2.42105263157895,2.42142857142857,2.45,2.38392857142857,2.35416666666667,2.33333333333333,2.29054054054054,2.38997695852535,2.29452054794521,2.34215885947047,2.31205448065173,2.33528645833333,2.35714285714286,2.36228389980007,2.34705882352941,2.38266666666667,2.38461538461538,2.40454545454545,2.43027777777778,2.4,2.375,2.4125,2.43888888888889,2.46428571428571,2.41246212121212,2.44222222222222,2.43895348837209,2.45454545454545,2.47148840206186,2.43163340724316,2.46666666666667,2.44642857142857,2.45454545454545,2.5,2.475,2.56666666666667,2.5,2.45454545454545,2.44352921195652,2.4
"10016","New York","NY","New York, NY","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19559902200489,5.12714389205832,5.01719138519514,5.07682775712516,5.10259067357513,5.18134715025907,5.11111111111111,5.20833333333333,5.25625883392226,5.24414340448823,5.07617728531856,5.05333475961644,5.08386842401712,5.08391608391608,4.9875,4.96,4.99833333333333,5,5.10355029585799,5.12429775280899,5.125,4.99166666666667,5.05946651014153,4.996875,5.09353146853147,4.996875,5.15971189591078,4.99427083333333,4.84848484848485,4.95454545454545,5.19291387367825,5.13040729402369,5.26641883519207,5.14435695538058,5.1801968503937,5.25,5.26641883519207,5.02921405561765,5.02183406113537,4.96350364963504,4.962271305337,5.10204081632653,5.14308588064047,5.22522522522523,5.10555555555556,5.22727272727273,5.26060810258923,5.26515151515152,5.34810352521196,5.17810601940855
"11235","New York","NY","New York, NY","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94074074074074,3.07142857142857,3.11111111111111,2.70735524256651,2.57247899159664,2.36284511784512,2.3,2.30034965034965,2.28582317073171,2.3125,2.34540587785426,2.29019953051643,2.36994219653179,2.34759271627249,2.28650905432596
"60647","Chicago","IL","Chicago, IL","Cook",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55833333333333,1.65625,1.56666666666667,1.65697674418605,1.68164513151823,1.69010289073983,1.68210526315789,1.6975,1.7175572519084,1.69230769230769,1.6625,1.63397435897436,1.70185185185185,1.69125,1.73684210526316,1.76923076923077,1.8125,1.80909090909091,1.77222222222222,1.80277777777778,1.76724598930481,1.73684210526316
"90250","Hawthorne","CA","Los Angeles, CA","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1034180543383,2.1625,2.11598746081505,2.01171875,2,1.95739781232009,2.03849381679955,2,1.94736842105263,2.05170902716915,2.16704545454545,2,2.1034180543383,1.99705882352941,1.90821179454661,1.99453551912568
