"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-08-31,"10025","NY","New York-Newark-Jersey City","New York","New York",0,3449,-0.00144759698899826,-0.00947731188971855,-0.0333520179372197,22431
2018-08-31,"60657","IL","Chicago-Naperville-Elgin","Cook","Chicago",1,1806,-0.00165837479270315,-0.00441014332965821,-0.0685920577617329,32223
2018-08-31,"10023","NY","New York-Newark-Jersey City","New York","New York",2,3636,-0.00274273176083379,-0.0183585313174946,-0.0715015321756895,29114
2018-08-31,"77494","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",3,2187,0,-0.000913659205116492,0.012031466913466,31576
2018-08-31,"60614","IL","Chicago-Naperville-Elgin","Cook","Chicago",4,1947,-0.00102616726526424,-0.0126774847870183,-0.101937269372694,33150
2018-08-31,"79936","TX","El Paso","El Paso","El Paso",5,991,0,-0.00201409869083585,-0.00601805416248746,31486
2018-08-31,"77449","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",6,1445,0.000692520775623269,0.000692520775623269,0.00837404047452896,31979
2018-08-31,"77084","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",7,1444,0,0.000693000693000693,0.00487125956854558,26718
2018-08-31,"10002","NY","New York-Newark-Jersey City","New York","New York",8,3661,-0.00190839694656489,-0.00732104121475054,-0.024513722355449,9172
2018-08-31,"10467","NY","New York-Newark-Jersey City","Bronx","New York",9,1795,0,-0.000556792873051225,0.0175736961451247,7339
2018-08-31,"60640","IL","Chicago-Naperville-Elgin","Cook","Chicago",10,1595,0.00125549278091651,0.00125549278091651,-0.0274390243902439,22477
2018-08-31,"94109","CA","San Francisco-Oakland-Hayward","San Francisco","San Francisco",11,4386,-0.00182066454255803,-0.00589301903898459,-0.0117169896349707,9561
2018-08-31,"11226","NY","New York-Newark-Jersey City","Kings","New York",12,2200,-0.00271985494106981,-0.0138951142985208,0.0101010101010101,10575
2018-08-31,"10016","NY","New York-Newark-Jersey City","New York","New York",13,3663,0.00164068908941756,0.00301204819277108,-0.014792899408284,26908
2018-08-31,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson","Nashville",14,1476,0.00135685210312076,0.00613496932515337,0.0214532871972318,22726
2018-08-31,"11375","NY","New York-Newark-Jersey City","Queens","New York",15,2147,0.000465983224603914,0.00233426704014939,0.0141709966934341,22413
2018-08-31,"11235","NY","New York-Newark-Jersey City","Kings","New York",16,2198,-0.00045475216007276,-0.00946372239747634,-0.01875,16914
2018-08-31,"78660","TX","Austin-Round Rock","Travis","Pflugerville",17,1621,0,0.000617283950617284,-0.0151883353584447,23295
2018-08-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",18,2705,-0.00478292862398823,-0.00661035622475211,0.0352085725220054,14870
2018-08-31,"60647","IL","Chicago-Naperville-Elgin","Cook","Chicago",19,1755,0.00114090131203651,-0.00284090909090909,-0.040983606557377,20165
