"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-08-31,"10025","NY","New York-Newark-Jersey City","New York","New York",0,3551,-0.00224782242202866,-0.00893106335473067,-0.0469672571121847,11590
2018-08-31,"60657","IL","Chicago-Naperville-Elgin","Cook","Chicago",1,1951,-0.00357507660878447,-0.0171284634760705,-0.0857544517338332,19955
2018-08-31,"10023","NY","New York-Newark-Jersey City","New York","New York",2,3728,-0.001339405304045,-0.0176548089591568,-0.0975550714112806,16863
2018-08-31,"77494","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",3,2250,0,0,-0.00088809946714032,26710
2018-08-31,"60614","IL","Chicago-Naperville-Elgin","Cook","Chicago",4,2196,0.00182481751824818,-0.000455166135639508,-0.0671197960917587,22779
2018-08-31,"79936","TX","El Paso","El Paso","El Paso",5,994,0,-0.00100502512562814,-0.0148662041625372,29177
2018-08-31,"77449","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",6,1444,0.000693000693000693,0.0013869625520111,0.00979020979020979,29511
2018-08-31,"77084","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",7,1444,0.000693000693000693,0.000693000693000693,0.00627177700348432,25525
2018-08-31,"10002","NY","New York-Newark-Jersey City","New York","New York",8,3726,0.00188222640494757,0.00539665407447383,0.00593952483801296,3802
2018-08-31,"10467","NY","New York-Newark-Jersey City","Bronx","New York",9,1790,0,0,0.0182025028441411,1043
2018-08-31,"60640","IL","Chicago-Naperville-Elgin","Cook","Chicago",10,1618,0.00309981401115933,0.000618429189857761,-0.0340298507462687,15051
2018-08-31,"94109","CA","San Francisco-Oakland-Hayward","San Francisco","San Francisco",11,4418,-0.00113045444268596,-0.00383314543404735,-0.00562682871933378,6444
2018-08-31,"11226","NY","New York-Newark-Jersey City","Kings","New York",12,2289,-0.0021795989537925,-0.0133620689655172,-0.014636246233319,2383
2018-08-31,"10016","NY","New York-Newark-Jersey City","New York","New York",13,3787,0.00158688177730759,0.00477580260015919,0.0109450080085424,12425
2018-08-31,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson","Nashville",14,1481,0.00135226504394861,0.00611413043478261,0.0227900552486188,20170
2018-08-31,"11375","NY","New York-Newark-Jersey City","Queens","New York",15,2164,0.001388246182323,0.00510915002322341,0.0173953925716972,14260
2018-08-31,"11235","NY","New York-Newark-Jersey City","Kings","New York",16,2233,-0.00178810907465355,-0.0106335844040762,-0.00975609756097561,8672
2018-08-31,"78660","TX","Austin-Round Rock","Travis","Pflugerville",17,1628,0.000614628149969269,0.00184615384615385,-0.0097323600973236,21745
2018-08-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",18,2813,-0.00565570873100035,-0.00950704225352113,0.0341911764705882,10712
2018-08-31,"60647","IL","Chicago-Naperville-Elgin","Cook","Chicago",19,1917,-0.0015625,-0.00725012946659762,-0.0593719332679097,11867
2018-08-31,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson","Nashville",20,1547,-0.000645994832041344,-0.00322164948453608,-0.0227416298168035,18679
2018-08-31,"10029","NY","New York-Newark-Jersey City","New York","New York",21,3376,-0.00118343195266272,-0.00530347672362994,-0.0254041570438799,1569
2018-08-31,"10009","NY","New York-Newark-Jersey City","New York","New York",22,4222,0.00261220612681073,0.00452058053771116,-0.0249422632794457,1910
