"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-08-31,"10025","NY","New York-Newark-Jersey City","New York","New York",0,3447,-0.00115908432338453,-0.00862812769628991,-0.0320134793597304,21508
2018-08-31,"60657","IL","Chicago-Naperville-Elgin","Cook","Chicago",1,1778,-0.00168444693992139,-0.00670391061452514,-0.0666666666666667,28906
2018-08-31,"10023","NY","New York-Newark-Jersey City","New York","New York",2,3631,-0.00247252747252747,-0.0186486486486486,-0.0718302658486708,27716
2018-08-31,"77494","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",3,1599,-0.000625,-0.00373831775700935,0,471
2018-08-31,"60614","IL","Chicago-Naperville-Elgin","Cook","Chicago",4,1902,-0.000525486074619023,-0.00730688935281837,-0.0981507823613087,28458
2018-08-31,"79936","TX","El Paso","El Paso","El Paso",5,849,0,0,-0.00235017626321974,2212
2018-08-31,"77449","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",6,1362,-0.00292825768667643,-0.00656455142231947,0.00442477876106195,342
2018-08-31,"77084","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",7,1338,0.00074794315632012,0.00601503759398496,0.0332046332046332,1140
2018-08-31,"10002","NY","New York-Newark-Jersey City","New York","New York",8,3644,-0.00191728293618187,-0.00735494415690548,-0.021744966442953,8908
2018-08-31,"10467","NY","New York-Newark-Jersey City","Bronx","New York",9,1791,0,0,0.0181921546333144,6082
2018-08-31,"60640","IL","Chicago-Naperville-Elgin","Cook","Chicago",10,1573,0.00191082802547771,0.00318877551020408,-0.0241935483870968,20422
2018-08-31,"94109","CA","San Francisco-Oakland-Hayward","San Francisco","San Francisco",11,4268,-0.0016374269005848,-0.00997448387845047,-0.0197519522278365,8799
2018-08-31,"11226","NY","New York-Newark-Jersey City","Kings","New York",12,2159,-0.00415129151291513,-0.0137048880767474,0.00652680652680653,8987
2018-08-31,"10016","NY","New York-Newark-Jersey City","New York","New York",13,3650,0.00137174211248285,0.0030228084638637,-0.0121786197564276,25706
2018-08-31,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson","Nashville",14,1287,0.00155642023346304,0.00704225352112676,0.0230524642289348,3613
2018-08-31,"11375","NY","New York-Newark-Jersey City","Queens","New York",15,2137,-0.000467726847521048,0.000936768149882904,0.022488038277512,17055
2018-08-31,"11235","NY","New York-Newark-Jersey City","Kings","New York",16,2189,-0.00136861313868613,-0.00680580762250454,-0.0072562358276644,14232
